requested_hour_utc,canonical_status,provider_id,request_status,label_independent
2026-07-02 21:00:00+00:00,empty,unselected_public_source,planned,True
2026-07-07 11:00:00+00:00,empty,unselected_public_source,planned,True
2026-07-08 11:00:00+00:00,empty,unselected_public_source,planned,True
2026-07-09 05:00:00+00:00,empty,unselected_public_source,planned,True
2026-07-14 04:00:00+00:00,empty,unselected_public_source,planned,True
2026-07-14 09:00:00+00:00,empty,unselected_public_source,planned,True
2026-07-21 11:00:00+00:00,empty,unselected_public_source,planned,True
2026-07-21 17:00:00+00:00,empty,unselected_public_source,planned,True
2026-07-21 19:00:00+00:00,empty,unselected_public_source,planned,True
2026-07-22 21:00:00+00:00,empty,unselected_public_source,planned,True
2026-07-26 23:00:00+00:00,empty,unselected_public_source,planned,True
2026-07-27 21:00:00+00:00,empty,unselected_public_source,planned,True
2026-07-29 21:00:00+00:00,empty,unselected_public_source,planned,True
2026-07-30 04:00:00+00:00,empty,unselected_public_source,planned,True
2026-07-30 10:00:00+00:00,empty,unselected_public_source,planned,True
2026-08-04 21:00:00+00:00,empty,unselected_public_source,planned,True
2026-08-05 07:00:00+00:00,empty,unselected_public_source,planned,True
2026-08-18 03:00:00+00:00,empty,unselected_public_source,planned,True
2026-08-18 11:00:00+00:00,empty,unselected_public_source,planned,True
2026-09-09 21:00:00+00:00,empty,unselected_public_source,planned,True
2026-09-10 21:00:00+00:00,empty,unselected_public_source,planned,True
2026-09-11 23:00:00+00:00,empty,unselected_public_source,planned,True
2026-09-17 21:00:00+00:00,empty,unselected_public_source,planned,True
