event_count,scenario,replicate,test_events,clock_bits_per_event,clock_mdl_net_bits,direction_mdl_net_bits,selected_direction_horizon,selected_direction_polarity,direction_test_accuracy,clock_mdl_accept,direction_mdl_accept,joint_mdl_accept
800,continuous_low_noise,0,211,0.43034157704630965,3.381896430381971,111.71956877074157,5,contrarian,0.9047619047619048,True,True,True
800,continuous_low_noise,1,192,0.29778813238395385,-30.67998995999492,120.39594032767408,5,contrarian,0.9322916666666666,False,True,False
800,continuous_low_noise,2,196,0.3696782340779706,-15.307911144306004,102.99367567353784,5,contrarian,0.9030612244897959,False,True,False
800,continuous_low_noise,3,187,0.45757783731621027,-2.4005054269311046,89.22594748295542,5,contrarian,0.8877005347593583,False,True,False
800,continuous_low_noise,4,193,0.401028811281463,-10.434190132106622,88.2941759399811,5,contrarian,0.8808290155440415,False,True,False
800,continuous_low_noise,5,194,0.3351799310345808,-22.785246222284357,103.67638640387963,5,contrarian,0.9067357512953368,False,True,False
800,continuous_low_noise,6,204,0.3879682518464459,-8.436577567715574,131.2198527284771,5,contrarian,0.9362745098039216,False,True,False
800,continuous_low_noise,7,201,0.4433254587999752,1.4575013873015479,128.50703052426536,5,contrarian,0.9353233830845771,True,True,True
800,continuous_low_noise,8,193,0.3224225751784429,-25.6051936999895,88.2941759399811,5,contrarian,0.8808290155440415,False,True,False
800,continuous_low_noise,9,205,0.38162552591189897,-9.325852840916127,101.18714561738389,5,contrarian,0.8926829268292683,False,True,False
800,continuous_low_noise,10,202,0.3779899024217711,-11.274055615684233,97.8491298133578,5,contrarian,0.8905472636815921,False,True,False
800,continuous_low_noise,11,182,0.4554588199552752,-5.185393533231476,99.97105978849945,5,contrarian,0.9116022099447514,False,True,False
800,continuous_low_noise,12,202,0.41191825596645854,-4.420528199657369,97.8491298133578,5,contrarian,0.8905472636815921,False,True,False
800,continuous_low_noise,13,205,0.3700394237762961,-11.701003778714707,95.2177851807515,5,contrarian,0.8829268292682927,False,True,False
