component,trades,buy_rate,win_rate,mean_pnl,median_duration,mean_lot,median_hour,median_gap
0,78,0.5769230769230769,0.9487179487179487,4.017564102564102,9.416666666666668,0.010256410256410256,9.0,1267.8083333333334
1,65,0.5384615384615384,0.8461538461538461,3.737076923076923,4.6,0.010153846153846154,17.0,432.31666666666666
2,42,0.3333333333333333,0.9761904761904762,3.473333333333333,6.55,0.010476190476190476,15.0,332.64166666666665
3,91,0.5384615384615384,0.8791208791208791,3.3953846153846157,9.816666666666666,0.01054945054945055,7.0,1191.4666666666667
4,127,0.4566929133858268,0.7952755905511811,3.070551181102362,6.816666666666666,0.011023622047244096,11.0,277.75
5,20,0.65,0.8,2.506,9.533333333333333,0.01,20.5,745.3416666666667
