ticket,side,open_time,close_time,lot_size,observed_price,pnl,duration_minutes,anomaly_score,anomaly_rank,interpretation
36227388,Sell,2025-09-30 11:20:57,2025-09-30 11:23:20,0.03,3833.24,6.79,2.3833333333333333,0.6721831003898195,1,Statistically inconsistent with the dominant observed trade-attribute pattern; cause unknown.
38381092,Sell,2025-12-08 16:57:55,2025-12-08 20:23:42,0.01,4205.31,16.3,205.78333333333333,0.6456998146281677,2,Statistically inconsistent with the dominant observed trade-attribute pattern; cause unknown.
36829995,Buy,2025-10-16 13:29:09,2025-10-16 13:45:40,0.02,4238.15,3.94,16.516666666666666,0.616802874585527,3,Statistically inconsistent with the dominant observed trade-attribute pattern; cause unknown.
36640713,Buy,2025-10-10 19:29:10,2025-10-10 19:33:56,0.02,3989.25,4.56,4.766666666666667,0.6099135215724052,4,Statistically inconsistent with the dominant observed trade-attribute pattern; cause unknown.
36508993,Buy,2025-10-08 12:42:32,2025-10-08 12:46:10,0.02,4039.03,5.04,3.6333333333333333,0.6019917865621329,5,Statistically inconsistent with the dominant observed trade-attribute pattern; cause unknown.
38786971,Buy,2025-12-23 11:53:01,2025-12-23 13:23:15,0.02,4479.23,8.66,90.23333333333333,0.5995368790120202,6,Statistically inconsistent with the dominant observed trade-attribute pattern; cause unknown.
37543683,Buy,2025-11-10 11:22:51,2025-11-10 11:35:47,0.02,4076.89,11.96,12.933333333333334,0.5928456557467386,7,Statistically inconsistent with the dominant observed trade-attribute pattern; cause unknown.
38185142,Sell,2025-12-01 12:14:10,2025-12-01 12:50:55,0.02,4260.23,12.08,36.75,0.5903138606874955,8,Statistically inconsistent with the dominant observed trade-attribute pattern; cause unknown.
38327555,Buy,2025-12-05 15:06:32,2025-12-05 15:24:10,0.02,4221.93,12.08,17.633333333333333,0.5870166245945198,9,Statistically inconsistent with the dominant observed trade-attribute pattern; cause unknown.
37874673,Sell,2025-11-20 08:09:10,2025-11-20 08:39:54,0.02,4076.1,14.9,30.733333333333334,0.585002898975313,10,Statistically inconsistent with the dominant observed trade-attribute pattern; cause unknown.
86014472,Buy,2026-02-27 17:27:11,2026-02-27 17:27:21,0.01,5225.25,0.58,0.16666666666666666,0.5807393724531241,11,Statistically inconsistent with the dominant observed trade-attribute pattern; cause unknown.
38293895,Sell,2025-12-04 13:18:01,2025-12-04 14:08:08,0.02,4202.96,9.8,50.11666666666667,0.57913897324066,12,Statistically inconsistent with the dominant observed trade-attribute pattern; cause unknown.
95576013,Sell,2026-08-04 21:47:35,2026-08-04 21:59:40,0.01,4076.22,-4.0,12.083333333333334,0.5789225351579665,13,Statistically inconsistent with the dominant observed trade-attribute pattern; cause unknown.
36726171,Sell,2025-10-14 10:52:46,2025-10-14 10:57:04,0.02,4126.17,5.0,4.3,0.5782504766075713,14,Statistically inconsistent with the dominant observed trade-attribute pattern; cause unknown.
96484066,Sell,2026-08-18 06:00:51,2026-08-18 08:14:35,0.01,4399.36,6.92,133.73333333333332,0.5754789543433609,15,Statistically inconsistent with the dominant observed trade-attribute pattern; cause unknown.
