month,trades,buy_rate,win_rate,mean_pnl,total_pnl,median_duration,mean_lot
2025-09,8,0.5,1.0,4.6825,37.46,5.241666666666667,0.0125
2025-10,40,0.55,0.925,3.239,129.56,5.15,0.0125
2025-11,19,0.47368421052631576,0.8421052631578947,6.037894736842105,114.72,24.883333333333333,0.011052631578947368
2025-12,31,0.5161290322580645,0.8064516129032258,4.595483870967742,142.46,32.06666666666667,0.01129032258064516
2026-01,20,0.7,0.95,3.8965000000000005,77.93,12.55,0.01
2026-02,38,0.47368421052631576,0.7894736842105263,1.853421052631579,70.43,3.591666666666667,0.01
2026-03,56,0.625,0.8214285714285714,1.8419642857142857,103.15,1.625,0.01
2026-04,50,0.54,0.92,3.2928,164.64000000000001,7.0,0.01
2026-05,45,0.35555555555555557,0.8666666666666667,3.206666666666667,144.3,7.8,0.010222222222222223
2026-06,33,0.42424242424242425,0.8787878787878788,4.1000000000000005,135.3,8.8,0.01
2026-07,38,0.4473684210526316,0.868421052631579,3.727368421052631,141.64,12.158333333333333,0.01
2026-08,27,0.48148148148148145,0.8888888888888888,3.997037037037037,107.92,11.3,0.011481481481481481
2026-09,18,0.5,0.8333333333333334,4.539444444444445,81.71000000000001,8.274999999999999,0.01
