distribution,log_likelihood,parameters,aic,bic
lognormal,-1524.1003018095785,"[1.2765957908315635, 0.0, 6.95832280964783]",3052.200603619157,3060.2953479772495
weibull,-1548.3422717976357,"[0.8113912497165947, 0.0, 13.069228546524013]",3100.6845435952714,3108.779287953364
gamma,-1558.7047087178235,"[0.7755869731960015, 0.0, 19.34516930614427]",3121.409417435647,3129.5041617937395
exponential,-1568.61410994241,"[0.0, 15.003861308116626]",3139.22821988482,3143.2755920638665
