model_name,family,train_log_likelihood,test_log_likelihood,train_bits_per_event,test_bits_per_event,num_train_events,num_test_events
B2_completed_bar,completed_bar,-2425.661889113785,-900.3155215422892,0.2784325752509916,0.30100965577832517,308,112
B3_causal_tick,causal_tick,-2425.661889113785,-900.3155215422892,0.2784325752509916,0.30100965577832517,308,112
B1_diurnal_calendar,diurnal_calendar,-2384.1789098332565,-915.9641553921408,0.4727419534630634,0.0994363838866453,308,112
B5_hawkes_self_exciting,hawkes_self_exciting,-2384.1789098332565,-915.9641553921408,0.4727419534630634,0.0994363838866453,308,112
B4_joint_bar_tick,joint_bar_tick,-2384.178909833256,-915.9641553921415,0.4727419534630655,0.09943638388663652,308,112
B0_homogeneous_poisson,homogeneous_poisson,-2485.104273503256,-923.6836488953845,0.0,0.0,308,112
