ticket,missing_hours,duration_seconds,status,panel_rows,max_quote_staleness_seconds,exit_quote_staleness_seconds
38443239,[],1388.0,INCLUDED,93.0,5.287,1.305
38448404,[],528.0,INCLUDED,36.0,1.235,0.346
38449900,[],449.0,INCLUDED,30.0,0.355,0.355
38487563,[],822.0,INCLUDED,55.0,3.439,1.16
38492680,[],3657.0,EXCLUDED_STALE_QUOTES,,12.511,
38528027,[],999.0,INCLUDED,67.0,2.444,0.353
38568721,[],4781.0,INCLUDED,319.0,8.761,0.098
38570537,[],537.0,INCLUDED,36.0,0.376,0.09
38612361,[],10842.0,INCLUDED,723.0,6.714,0.005
38648802,[],1487.0,INCLUDED,100.0,2.689,0.422
38650723,['2025-12-17T08:00:00+00:00'],3124.0,EXCLUDED_MISSING_TICKS_OR_DURATION,,,
38683859,[],689.0,INCLUDED,46.0,2.5,0.005
38686016,[],5642.0,INCLUDED,377.0,4.883,0.644
38720385,[],2094.0,INCLUDED,140.0,3.536,0.182
38723027,[],630.0,INCLUDED,42.0,3.747,0.52
38755615,[],818.0,INCLUDED,55.0,2.382,0.048
38759834,[],9239.0,EXCLUDED_STALE_QUOTES,,12.195,
38786971,[],5414.0,INCLUDED,361.0,5.98,0.462
38800885,[],878.0,INCLUDED,59.0,0.749,0.049
81950224,[],2393.0,INCLUDED,160.0,5.196,0.112
81979298,[],97.0,INCLUDED,7.0,2.096,0.596
81983513,[],409.0,INCLUDED,28.0,7.35,0.321
82028698,[],933.0,INCLUDED,63.0,3.943,0.417
82061725,['2026-01-05T09:00:00+00:00'],1533.0,EXCLUDED_MISSING_TICKS_OR_DURATION,,,
82095097,[],1440.0,INCLUDED,96.0,3.319,0.085
82147110,[],873.0,INCLUDED,59.0,1.517,0.025
82169230,[],396.0,INCLUDED,27.0,3.555,0.1
