window_minutes,n_nonzero,momentum_accuracy,contrarian_accuracy,contrarian_strength_over_chance,pointwise_placebo_pvalue,null_strength_mean,null_strength_q95
2,406,0.4088669950738916,0.5911330049261083,0.09113300492610832,0.0004997501249375312,-0.0022954090056743377,0.03718585747463633
3,405,0.38765432098765434,0.6123456790123456,0.1123456790123456,0.0004997501249375312,0.0035307156127866862,0.04207920792079212
5,405,0.4024691358024691,0.5975308641975309,0.09753086419753088,0.0004997501249375312,0.001834730960173672,0.044334975369458185
8,406,0.41625615763546797,0.583743842364532,0.08374384236453203,0.0004997501249375312,0.00015603016695087547,0.040740740740740744
10,405,0.40987654320987654,0.5901234567901235,0.09012345679012346,0.0004997501249375312,0.003733473648268963,0.041871921182266014
15,406,0.4211822660098522,0.5788177339901478,0.0788177339901478,0.0009995002498750624,-0.0006060615259848376,0.0383284680411117
20,405,0.3851851851851852,0.6148148148148148,0.11481481481481481,0.0004997501249375312,0.0022909298133007446,0.041871921182266014
30,406,0.45073891625615764,0.5492610837438423,0.049261083743842304,0.026986506746626688,0.0019832490161967907,0.041871921182266014
45,406,0.4482758620689655,0.5517241379310345,0.051724137931034475,0.01999000499750125,-0.001696347018682987,0.03718585747463633
60,406,0.4482758620689655,0.5517241379310345,0.051724137931034475,0.02148925537231384,0.0006689172707637452,0.041871921182266014
90,406,0.4753694581280788,0.5246305418719213,0.024630541871921263,0.16391804097951024,-0.0006425403499141472,0.039408866995073843
120,406,0.4802955665024631,0.5197044334975369,0.019704433497536922,0.1904047976011994,-0.0018846959011719485,0.036945812807881784
180,406,0.4876847290640394,0.5123152709359606,0.012315270935960632,0.3613193403298351,0.001888858796936069,0.041871921182266014
240,406,0.4975369458128079,0.5024630541871922,0.0024630541871921707,0.38780609695152424,-0.005506373382275285,0.034482758620689724
360,406,0.4975369458128079,0.5024630541871922,0.0024630541871921707,0.4102948525737131,-0.0044509608952137715,0.036945812807881784
