scenario,replicate,planted_events,observed_events,test_events,clock_test_bits,clock_test_bits_per_event,clock_mdl_net_bits,selected_direction_horizon,selected_direction_polarity,direction_test_accuracy,direction_test_n,direction_mdl_net_bits,clock_family_recovered,clock_mdl_recovered,contrarian_family_recovered,exact_horizon_recovered
continuous_low_noise,0,420,420,102,50.48136285262042,0.49491532208451394,-28.491025222580944,5,contrarian,0.8921568627450981,102,48.6756751819991,True,False,True,True
continuous_low_noise,1,420,420,125,54.881565299250475,0.4390525223940038,-23.06186057111696,5,contrarian,0.92,125,71.72760122471591,True,False,True,True
continuous_low_noise,2,420,420,106,41.71502283614719,0.3935379512844075,-37.08387427832326,5,contrarian,0.8962264150943396,106,52.03046241275121,True,False,True,True
continuous_low_noise,3,420,420,93,46.550182987596806,0.50053960201717,-32.80471185463498,5,contrarian,0.8369565217391305,92,29.978222610390006,True,False,True,True
continuous_low_noise,4,420,420,115,41.72559877888285,0.3628312937294161,-36.67472282939452,5,contrarian,0.9122807017543859,114,62.115550020766634,True,False,True,True
continuous_low_noise,5,420,420,104,58.17000744439371,0.5593269946576318,-20.715909663288762,5,contrarian,0.9423076923076923,104,67.90560904094376,True,False,True,True
continuous_low_noise,6,420,420,112,36.46585202087665,0.32558796447211297,-42.06862011572491,5,contrarian,0.875,112,48.120782361645205,True,False,True,True
continuous_low_noise,7,420,420,105,42.137777641716895,0.4013121680163514,-36.704698532962254,5,contrarian,0.8476190476190476,105,37.344496001066524,True,False,True,True
continuous_low_noise,8,420,420,111,32.570166066753664,0.2934249195203033,-46.0087326983379,5,contrarian,0.8738738738738738,111,47.31435343609606,True,False,True,True
continuous_low_noise,9,420,420,114,43.98699468079805,0.3858508305333162,-34.45818982478214,5,contrarian,0.9122807017543859,114,62.115550020766634,True,False,True,True
continuous_low_noise,10,420,420,112,31.996859168419977,0.2856862425751784,-46.53761296818159,5,contrarian,0.9017857142857143,112,57.10935629248989,True,False,True,True
continuous_low_noise,11,420,420,99,47.112648201842724,0.4758853353721487,-31.98843192581915,5,contrarian,0.898989898989899,99,49.25325091700169,True,False,True,True
continuous_low_noise,12,420,420,112,46.11728922709423,0.4117615109561985,-32.41718290950733,5,contrarian,0.875,112,48.120782361645205,True,False,True,True
continuous_low_noise,13,420,420,106,41.67727203437402,0.3931818116450379,-37.12162508009643,5,contrarian,0.8571428571428571,105,39.874358248855614,True,False,True,True
continuous_low_noise,14,420,420,85,44.79827364412105,0.5270385134602477,-34.88789056665773,5,contrarian,0.9176470588235294,85,47.11462795395393,True,False,True,True
continuous_low_noise,15,420,420,97,41.52342826412961,0.4280765800425733,-37.662780105462666,5,contrarian,0.9072164948453608,97,50.76776176091158,True,False,True,True
continuous_low_noise,16,420,420,113,61.16274670250103,0.5412632451548763,-17.327154328515668,5,contrarian,0.8938053097345132,113,54.81868701366891,True,False,True,True
continuous_low_noise,17,420,420,111,56.789901709146385,0.511620736118436,-21.78899705594518,5,contrarian,0.9099099099099099,111,59.51847954194315,True,False,True,True
continuous_low_noise,18,420,420,87,37.69466787175469,0.43327204450292744,-41.90942661542229,5,contrarian,0.8850574712643678,87,39.225760443541674,True,False,True,True
continuous_low_noise,19,420,420,113,41.05183388140114,0.36329056532213394,-37.43806714961556,5,contrarian,0.911504424778761,113,61.248612495828894,True,False,True,True
continuous_low_noise,20,420,420,118,57.61927839507732,0.48829896944980783,-20.645566628510927,5,contrarian,0.9152542372881356,118,65.59525135783096,True,False,True,True
continuous_low_noise,21,420,420,119,36.81652090338786,0.309382528599898,-41.402866025829304,5,contrarian,0.8991596638655462,119,59.87320371993133,True,False,True,True
