ticket,side,observed_price,mfe_price,mae_price,mfe_pips,mae_pips,time_to_mfe_minutes,time_to_mae_minutes,final_pnl,holding_minutes,bars_in_trade
36094988,Buy,3736.13,1.9179999999996653,-1.7519999999999527,19.179999999996653,-17.519999999999527,8.066666666666666,1.0666666666666667,0.97,9.983333333333333,10.0
36095791,Sell,3736.72,3.6549999999997453,0.38499999999976353,36.54999999999745,3.8499999999976353,1.2333333333333334,0.23333333333333334,2.52,1.75,2.0
36148327,Buy,3779.39,1.2450000000003456,-1.4149999999999636,12.450000000003456,-14.149999999999636,5.05,2.05,0.82,6.5,7.0
36168589,Buy,3805.93,2.8850000000002183,-3.0049999999996544,28.850000000002183,-30.049999999996544,5.3,0.3,3.9,6.266666666666667,6.0
36168590,Buy,3805.93,2.8850000000002183,-3.0049999999996544,28.850000000002183,-30.049999999996544,5.216666666666667,0.21666666666666667,3.52,6.133333333333334,6.0
36227385,Sell,3833.38,12.907999999999902,1.5850000000000364,129.07999999999902,15.850000000000364,1.1333333333333333,0.13333333333333333,6.03,1.2166666666666666,2.0
36227388,Sell,3833.24,12.767999999999574,1.444999999999709,127.67999999999574,14.44999999999709,1.05,0.05,6.79,2.3833333333333333,3.0
36228676,Sell,3830.54,12.192000000000007,-2.5349999999998545,121.92000000000007,-25.349999999998545,4.066666666666666,0.06666666666666667,12.91,4.35,5.0
36274877,Buy,3858.64,2.974999999999909,-0.7719999999999345,29.74999999999909,-7.719999999999345,3.7666666666666666,2.7666666666666666,2.01,3.783333333333333,4.0
36283671,Sell,3893.34,5.545000000000073,1.0920000000000982,55.45000000000073,10.920000000000982,4.966666666666667,0.9666666666666667,6.25,6.5,6.0
36322976,Buy,3868.72,2.2280000000000655,-2.7519999999999527,22.280000000000655,-27.519999999999527,51.416666666666664,22.416666666666668,1.21,51.516666666666666,52.0
36334931,Buy,3881.12,3.3450000000002547,-0.09499999999979991,33.45000000000255,-0.9499999999979991,1.0833333333333333,0.08333333333333333,1.43,2.55,3.0
36335183,Buy,3882.36,1.5349999999998545,-2.481999999999971,15.349999999998545,-24.81999999999971,7.866666666666666,1.8666666666666667,1.32,8.5,8.0
36335196,Buy,3882.34,1.5549999999998363,-2.461999999999989,15.549999999998363,-24.61999999999989,7.383333333333334,1.3833333333333333,1.22,7.95,8.0
36337657,Sell,3890.78,3.6150000000002365,-1.0549999999998363,36.150000000002365,-10.549999999998363,2.783333333333333,0.7833333333333333,1.81,2.8333333333333335,3.0
36368405,Buy,3860.35,1.7950000000000728,-0.9850000000001273,17.950000000000728,-9.850000000001273,5.583333333333333,0.5833333333333334,1.2,5.716666666666667,6.0
36383087,Buy,3878.35,6.244999999999891,0.6849999999999454,62.44999999999891,6.849999999999454,3.8666666666666667,1.8666666666666667,7.8,4.816666666666666,4.0
36414174,Sell,3943.07,4.302000000000135,-1.1149999999997817,43.020000000001346,-11.149999999997817,10.35,15.35,2.46,26.0,26.0
36416362,Sell,3938.03,4.1550000000002,0.4050000000002001,41.550000000002,4.050000000002001,5.083333333333333,2.0833333333333335,3.02,5.633333333333334,6.0
36450406,Sell,3962.08,1.8049999999998363,-2.9450000000001637,18.049999999998363,-29.450000000001637,3.2666666666666666,5.266666666666667,-1.71,5.366666666666666,6.0
36450588,Sell,3964.19,4.695000000000164,-1.2080000000000837,46.95000000000164,-12.080000000000837,11.183333333333334,5.183333333333334,3.62,11.683333333333334,12.0
36451248,Buy,3963.3,2.8449999999998,-2.5150000000003274,28.449999999998,-25.150000000003274,4.4,0.4,1.43,4.4,5.0
36508294,Sell,4036.35,3.7149999999996908,-0.8250000000002728,37.14999999999691,-8.250000000002728,12.216666666666667,2.216666666666667,4.98,13.166666666666666,13.0
36508676,Buy,4035.65,3.2649999999998727,0.5549999999998363,32.64999999999873,5.549999999998363,1.7333333333333334,0.7333333333333333,2.27,3.6666666666666665,3.0
36508993,Buy,4039.03,5.924999999999727,-0.3850000000002183,59.24999999999727,-3.850000000002183,3.466666666666667,0.4666666666666667,5.04,3.6333333333333333,4.0
36561296,Sell,4039.78,2.762000000000171,-2.574999999999818,27.62000000000171,-25.74999999999818,8.416666666666666,0.4166666666666667,2.84,8.416666666666666,9.0
36562289,Buy,4035.78,4.494999999999891,-2.425000000000182,44.94999999999891,-24.25000000000182,13.5,5.5,4.04,14.233333333333333,14.0
36562770,Buy,4042.07,3.5549999999998363,-0.31500000000005457,35.54999999999836,-3.1500000000005457,4.783333333333333,0.7833333333333333,2.88,5.483333333333333,5.0
36640713,Buy,3989.25,2.5979999999999563,-1.7849999999998545,25.979999999999563,-17.849999999998545,3.8333333333333335,0.8333333333333334,4.56,4.766666666666667,4.0
36682106,Sell,4078.64,1.7049999999999272,-3.394999999999982,17.049999999999272,-33.94999999999982,5.25,4.25,0.71,6.0,6.0
36725889,Sell,4122.81,4.635000000000218,-0.13799999999991996,46.35000000000218,-1.3799999999991996,0.1,0.1,4.94,2.3,3.0
36726171,Sell,4126.17,3.6549999999997453,-0.3149999999995998,36.54999999999745,-3.1499999999959982,3.2333333333333334,2.2333333333333334,5.0,4.3,5.0
36768836,Buy,4189.58,4.444999999999709,-2.305000000000291,44.44999999999709,-23.05000000000291,7.866666666666666,0.8666666666666667,7.8,7.95,8.0
36829765,Sell,4240.78,3.0119999999997162,-0.9050000000006548,30.119999999997162,-9.050000000006548,1.2166666666666666,0.21666666666666667,0.45,3.3833333333333333,4.0
36829878,Buy,4239.37,-0.3649999999997817,-3.1920000000000073,-3.649999999997817,-31.920000000000073,2.8,2.8,-2.92,2.966666666666667,3.0
36829995,Buy,4238.15,2.8479999999999563,-4.3049999999993815,28.479999999999563,-43.049999999993815,15.85,0.85,3.94,16.516666666666666,16.0
36893509,Buy,4338.39,2.344999999999345,-2.4650000000001455,23.44999999999345,-24.650000000001455,3.8333333333333335,6.833333333333333,1.94,10.783333333333333,10.0
36902372,Sell,4310.55,3.824999999999818,0.8150000000005093,38.24999999999818,8.150000000005093,0.7,0.7,2.84,1.45,1.0
36954767,Sell,4258.23,5.824999999999818,0.944999999999709,58.24999999999818,9.44999999999709,2.566666666666667,0.5666666666666667,3.94,2.85,3.0
36997575,Buy,4329.16,0.9949999999998909,-3.694999999999709,9.949999999998909,-36.94999999999709,0.2833333333333333,3.283333333333333,-1.96,3.5833333333333335,4.0
36998918,Buy,4301.15,5.925000000000182,-6.864999999999782,59.25000000000182,-68.64999999999782,7.65,1.65,4.74,8.083333333333334,8.0
37005647,Sell,4258.12,6.324999999999818,-2.8350000000000364,63.24999999999818,-28.350000000000364,3.4166666666666665,1.4166666666666667,3.73,3.8,4.0
37045628,Sell,4152.22,5.295000000000073,-0.03499999999985448,52.95000000000073,-0.3499999999985448,0.5166666666666667,0.5166666666666667,6.5,1.45,1.0
37082195,Buy,4092.12,5.954999999999927,-3.7149999999996908,59.54999999999927,-37.14999999999691,1.2666666666666666,0.26666666666666666,9.36,1.8333333333333333,2.0
37145681,Sell,4133.72,6.744999999999891,-1.7550000000001091,67.44999999999891,-17.55000000000109,4.25,2.25,4.13,4.933333333333334,5.0
37162697,Buy,4073.84,4.757999999999811,-1.0620000000003529,47.57999999999811,-10.620000000003529,8.916666666666666,1.9166666666666667,4.38,9.816666666666666,9.0
37217619,Sell,3907.0,8.974999999999909,1.4349999999999454,89.74999999999909,14.349999999999454,2.7,0.7,5.94,3.283333333333333,3.0
37296835,Buy,3965.57,4.5349999999998545,-4.015000000000327,45.349999999998545,-40.150000000003274,11.116666666666667,0.11666666666666667,4.42,11.85,12.0
