feature,entry_mean,notrade_mean,entry_median,notrade_median,entry_std,notrade_std,normalized_diff
ema_200,4491.104416885218,4315.176580951622,4462.378565254328,4332.309689642478,384.6029655290574,473.58465502971256,0.3714812844225003
sma_200,4491.37979104513,4315.684396374007,4464.119085,4332.181825,384.8406439555772,473.22368698045403,0.3712734579957942
ema_100,4491.124175716727,4315.312355771974,4454.630416757128,4331.750314504527,384.35737650178856,473.55770522502854,0.37125743706532827
bollinger_lower_20,4485.03258742088,4309.982974781623,4446.590195283612,4326.677476978271,383.39467442998097,471.77445661936144,0.3710451258706452
sma_100,4491.152196698337,4315.565246161276,4458.03887,4331.8819300000005,384.27149196324825,473.378836548495,0.37092268808832196
ema_50,4491.010432580088,4315.38042826766,4452.687584634719,4331.749273226614,384.27356718432355,473.54485824710247,0.3708835630951151
sma_20,4491.03241840855,4315.469699719749,4456.3075,4331.6449999999995,384.2067221765161,473.50394535997935,0.37077350761029
ema_20,4490.922159231079,4315.421247106768,4455.79395745361,4331.583608363471,384.2708827958524,473.5377759523323,0.37061649785170864
sma_50,4490.949528836104,4315.5056992449445,4451.613,4331.6866,384.30461039874916,473.45679256984903,0.37055932525227375
bollinger_upper_20,4497.032249396222,4320.956424657876,4469.8828930651225,4336.174434798556,385.10287333708067,475.2944796727837,0.37045627977668777
ema_9,4490.81024676856,4315.436281262537,4457.151509597252,4331.592048070692,384.291299756796,473.53537665725906,0.370350293031195
sma_9,4490.8220005278445,4315.456712858939,4455.485,4331.544055555556,384.34253829240663,473.52127959987087,0.3703429924347231
vwap_session,4489.0084565222805,4314.21646100028,4462.248725586496,4329.698156571276,385.085364553869,474.3066733074592,0.3685210547487421
candle_body_abs,1.6414679334916886,1.2574100651773712,1.25,0.7799999999997453,1.4914877238907818,1.7049661743646058,0.22525835049612458
candle_body_ratio,0.550887580444987,0.4911717992153752,0.5635838150289914,0.49725022683735415,0.26753668324195096,0.2728819896593658,0.21883372033940504
lower_wick_ratio,0.2289276627823093,0.25990956971062074,0.1458333333344781,0.21000000000003638,0.2210649717352896,0.22115197593619568,-0.1400932849777327
upper_wick_ratio,0.22018475677270372,0.24891863107400414,0.16704805491981273,0.19624573378840715,0.20800134018849772,0.2176586433605952,-0.13201347635748845
atr_14,2.5606814347573232,2.381555353849844,2.1070956904609153,1.9353545069171898,1.628925437230835,1.854450251697404,0.09659255116007018
return_15,-0.00015832120444506808,1.2430921774474174e-05,-4.987619274232635e-05,2.1387807286332716e-05,0.0019309754050599313,0.001775632154686319,-0.09616407858170857
distance_high_10,-0.0009881402703092006,-0.0008745345773923021,-0.0007450478010406769,-0.0005976224737866409,0.0013541266800094164,0.0011956783835281235,-0.09501350820458164
distance_high_20,-0.0013766886005713648,-0.0012401302632856406,-0.001027078214858923,-0.0008436658576595479,0.0017636161420041484,0.0016140076921091144,-0.08460817959243822
macd_hist,-0.05330005787064758,4.807876140631661e-05,-0.02161351922836019,-0.0033088946683355047,0.7449870785087259,0.7085836057491417,-0.075288414978729
atr_ratio,0.0005675230555393011,0.0005386915862423394,0.0004709178856192077,0.0004437732461676831,0.0003546189083761597,0.0003847543483823453,0.07493455105479359
bollinger_bandwidth_20,0.0026583833262839767,0.0024817584791961434,0.001997543674407239,0.001855807928720791,0.002551746024538637,0.0024024011486555794,0.0735201003656591
return_10,-8.647743164578202e-05,8.27643004487724e-06,2.555243839474919e-05,1.5007260066979278e-05,0.0015793083679478351,0.0014567791996621178,-0.06504334814039638
ema_9_20_diff,-0.11191246251824945,0.015034155769785036,0.03162145225178392,0.03828853991262804,2.1037820798886115,2.1389369523985793,-0.05935033198913492
distance_high_50,-0.002115248103356026,-0.0019696509488222923,-0.001450222585197003,-0.0013378595978913443,0.0027037752842078667,0.0024612003706968276,-0.05915694516800615
stochastic_d_14,50.06815488514601,51.68329243683008,49.935009984169845,52.281818794538104,27.545089429267883,27.859643885416705,-0.05797409178196821
distance_ema_20,-4.677654393074403e-05,6.762542789490671e-06,-1.592709088679544e-05,1.914608350449205e-05,0.0009985347555993835,0.0009766009884965023,-0.05482180801480771
distance_ema_100,-8.756764432881399e-05,3.533981154994893e-05,3.194252641890422e-05,6.62960040371849e-05,0.002296449332239409,0.0022431943174312475,-0.05479124128143601
distance_ema_50,-6.545703813820653e-05,1.7475434371920737e-05,-8.699524240659488e-07,4.0448429474067654e-05,0.001596033909014594,0.0015816155711328636,-0.052435257712762376
return_60,-0.00012413014055077747,4.911105754062483e-05,-0.0001429230948976068,6.281144701580921e-05,0.0035244638113951818,0.0035247911205343913,-0.04914933765374434
macd,-0.09297968752784366,0.01909018612932998,0.03270773557778739,0.04689085302834428,2.2789795632200023,2.372768113298979,-0.047231700806247584
distance_ema_200,-7.529389187874195e-05,7.098394324316751e-05,9.32903979055987e-05,0.00012843875372468356,0.003334991284766552,0.003168219414564494,-0.04617034675032763
return_1,2.0202286195887567e-05,8.003833774637566e-07,-1.2057259927478192e-05,0.0,0.0004921322948539738,0.00046984103816891185,0.04129452292953121
return_5,-3.708411429494535e-05,4.139319602629502e-06,-4.723745255164058e-05,6.311269045156109e-06,0.0010060997955538098,0.0010390658664380255,-0.0396735140240694
distance_ema_9,-2.1513997981476727e-05,2.8211701246997913e-06,-2.317655336154601e-05,8.493084104894959e-06,0.0006290893314953827,0.000616991734088117,-0.039441579716724906
distance_low_10,0.0009831187057741358,0.000939783281993993,0.0007637562923104024,0.0006559343755807578,0.0010408816999295158,0.0012142487790522776,0.035689052226112954
candle_body,0.07725890736341788,0.002024384297726113,-0.07999999999992724,0.0029999999997016857,2.2179686055461496,2.1184875649470625,0.035513318215799124
stochastic_k_14,50.63816912318741,51.68264041763696,49.659583247370534,52.45901639344079,30.356262152438624,30.046280020564645,-0.034762083482544885
ema_20_50_diff,-0.08827334900919133,0.040818839107372475,0.0747191671875953,0.08114528946498467,3.59929057673808,3.726877723621278,-0.034638160319488895
macd_signal,-0.0396796296571961,0.01904210736792366,0.015158978040883703,0.040859459269060316,2.088978779657644,2.23663963685465,-0.026254447087169005
rsi_7,50.07850562876554,50.48423027483965,49.04189487614733,50.54135445979772,16.949716883879724,16.212649844458014,-0.025025190202808006
rsi_14,50.21834355391557,50.45911795552582,49.78768416442641,50.472401206286044,11.656932861594946,11.42204633983061,-0.021079795548504452
rsi_21,50.25890278197805,50.436712565081855,50.069983658503844,50.414698775936536,9.378183481492144,9.331303878328159,-0.019055191579143597
distance_vwap,0.0004186778360801558,0.00032767232580534537,0.000377223322995587,0.0003780910858001476,0.0062600186167692745,0.0059996046345792,0.015168582039841583
distance_low_20,0.0013761753939916267,0.0013571571465631092,0.0010522813242888063,0.0009525023191447879,0.001381711283211152,0.0016385315428769137,0.011606878063663943
distance_low_50,0.0022405371089290185,0.0022120094699204867,0.0016869042124865175,0.00157767487775351,0.002123065591529014,0.0024942589537739848,0.011437315892181799
bollinger_z_20,0.007036857590432628,0.020748796626634817,-0.0008825976495595741,0.050700499244621174,1.3472131904103384,1.2865880288081708,-0.010657598795044462
return_3,-4.694822901020082e-06,2.4668308757243132e-06,-4.2001056326568253e-05,4.715596481741358e-06,0.0008000630872521677,0.0008076411560297338,-0.008867360034733915
return_30,6.802879273063437e-06,2.4531466795069015e-05,8.937518922502719e-06,3.563636779524426e-05,0.002407706305406258,0.002504458798440258,-0.007078806987856899
