hour,trades,buy_rate,win_rate,mean_pnl,median_duration
0,0,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,0.0
3,0,0.0,0.0,0.0,0.0
4,0,0.0,0.0,0.0,0.0
5,3,0.3333333333333333,1.0,3.046666666666667,5.616666666666666
6,14,0.5714285714285714,1.0,4.310714285714286,9.283333333333333
7,35,0.5428571428571428,0.8285714285714286,2.628285714285714,10.883333333333333
8,63,0.49206349206349204,0.8888888888888888,3.9987301587301585,9.5
9,54,0.6296296296296297,0.9444444444444444,3.7714814814814814,9.575
10,31,0.5161290322580645,0.8064516129032258,2.6432258064516128,6.783333333333333
11,38,0.3684210526315789,0.8421052631578947,3.852368421052632,8.383333333333333
12,25,0.48,0.88,3.6732,6.816666666666666
13,29,0.5172413793103449,0.7241379310344828,2.186896551724138,4.966666666666667
14,24,0.3333333333333333,0.875,3.748333333333333,8.983333333333334
15,27,0.3333333333333333,0.9259259259259259,3.2914814814814815,4.9
16,26,0.5384615384615384,0.8461538461538461,3.697307692307692,3.175
17,13,0.5384615384615384,0.7692307692307693,2.506153846153846,3.0833333333333335
18,12,0.75,0.9166666666666666,4.684166666666667,4.866666666666667
19,9,0.4444444444444444,1.0,4.078888888888889,4.933333333333334
20,10,0.8,0.7,2.419,12.041666666666668
21,5,0.2,0.8,1.9439999999999997,12.083333333333334
22,4,0.75,1.0,3.085,7.775
23,1,1.0,1.0,3.87,7.783333333333333
