weekday,trades,buy_rate,win_rate,mean_pnl,median_duration
Monday,87,0.4942528735632184,0.8735632183908046,3.8087356321839083,7.8
Tuesday,90,0.4666666666666667,0.8444444444444444,3.2876666666666665,6.025
Wednesday,80,0.5,0.9,3.445875,7.85
Thursday,89,0.5842696629213483,0.8314606741573034,2.9164044943820224,8.5
Friday,77,0.4805194805194805,0.8961038961038961,3.74987012987013,6.583333333333333
Saturday,0,,,,
Sunday,0,,,,
