phase,start_index,end_index_exclusive,start_open_time,end_open_time,trades,mean_duration_minutes,median_duration_minutes,geometric_mean_duration_minutes,winner_median_duration_minutes,loser_median_duration_minutes,winner_minus_loser_mean_log_duration
1,0,51,2025-09-25T19:32:56,2025-11-05T09:55:47,51,7.310457516339869,5.483333333333333,5.415031755930942,5.675000000000001,3.5833333333333335,0.3625238657185492
2,51,116,2025-11-06T12:42:44,2026-01-26T11:00:40,65,38.137179487179495,24.0,23.485362610843413,24.883333333333333,11.216666666666667,0.9269850714620782
3,116,230,2026-01-28T09:01:54,2026-04-10T08:14:46,114,5.004093567251461,2.658333333333333,2.4839573359052958,2.8333333333333335,1.5166666666666666,0.8434789329694765
4,230,347,2026-04-10T08:30:33,2026-07-07T10:41:18,117,11.154700854700854,8.083333333333334,7.183703161690658,9.191666666666666,2.566666666666667,1.1531205386611192
5,347,423,2026-07-07T11:45:26,2026-09-18T06:25:04,76,21.306798245614036,12.016666666666666,12.98625126038845,12.266666666666667,4.85,1.0124130059946421
