segment_start_index,segment_end_index_exclusive,depth,split_index,left_last_open_time,right_first_open_time,max_studentized_mean_shift,permutation_p_value
0,51,2,30,2025-10-13T15:38:45,2025-10-14T10:42:54,0.9637049486633141,0.6791660416979151
0,116,1,51,2025-11-05T09:55:47,2025-11-06T12:42:44,6.745807849812382,4.999750012499375e-05
51,116,2,96,2025-12-29T06:11:17,2025-12-30T07:20:44,3.187029100888863,0.00679966001699915
0,423,0,116,2026-01-26T11:00:40,2026-01-28T09:01:54,5.651785949869225,4.999750012499375e-05
116,230,2,139,2026-02-23T15:02:41,2026-02-24T10:04:42,3.1978678478586695,0.015299235038248088
116,423,1,230,2026-04-10T08:14:46,2026-04-10T08:30:33,8.738441911109415,4.999750012499375e-05
230,423,2,347,2026-07-07T10:41:18,2026-07-07T11:45:26,3.92249064118365,0.0013499325033748313
