states,parameters,log_likelihood,aic,bic,converged,minimum_state_size,maximum_state_share
1,10,-3001.0549980233827,6022.109996046765,6062.5837178372285,True,423,1.0
2,23,-2837.0620821908415,5720.124164381683,5813.2137244997475,True,144,0.6595744680851063
3,38,-2420.898574658769,4917.797149317538,5071.597292121297,True,119,0.3617021276595745
4,55,-2357.4511892432793,4824.9023784865585,5047.507848334104,True,55,0.34988179669030733
5,74,-2286.7141525378283,4721.428305075657,5020.9338463250815,True,46,0.28841607565011823
6,95,-2237.2114301630404,4664.422860326081,5048.923217335478,True,40,0.3049645390070922
