model,components,aic,bic,silhouette,log_likelihood,minimum_component_size,maximum_component_share
Gaussian mixture,1,6022.11105154735,6062.584773337813,,-3001.055525773675,423,1.0
Gaussian mixture,2,5524.537596259843,5609.532412019815,0.18702801284743498,-2741.2687981299214,162,0.6170212765957447
Gaussian mixture,3,4947.324261260499,5076.84017098998,0.18671919668826298,-2441.6621306302495,120,0.3664302600472813
Gaussian mixture,4,4864.902111225046,5038.9391149240355,0.17330141369472093,-2389.451055612523,53,0.37115839243498816
Gaussian mixture,5,4592.7999474470835,4811.358045115582,0.06341077996010179,-2242.3999737235417,49,0.23877068557919623
Gaussian mixture,6,4455.8040561777125,4718.88324781572,0.05113896018825968,-2162.9020280888562,20,0.30023640661938533
