test_month,train_start,train_end,train_trades,test_trades,predicted_buy_rate,observed_buy_rate,absolute_buy_rate_error,predicted_win_rate,observed_win_rate,absolute_win_rate_error,predicted_mean_pnl,observed_mean_pnl,absolute_mean_pnl_error,predicted_median_duration,observed_median_duration,absolute_median_duration_error
2025-12,2025-09,2025-11,67,31,0.5223880597014925,0.5161290322580645,0.006259027443427989,0.9104477611940298,0.8064516129032258,0.10399614829080406,4.205074626865672,4.595483870967743,0.390409244102071,6.5,32.06666666666667,25.56666666666667
2026-01,2025-09,2025-12,98,20,0.5204081632653061,0.7,0.1795918367346938,0.8775510204081632,0.95,0.07244897959183672,4.328571428571428,3.8964999999999996,0.43207142857142866,10.241666666666667,12.55,2.3083333333333336
2026-02,2025-09,2026-01,118,38,0.5508474576271186,0.47368421052631576,0.07716324710080286,0.8898305084745762,0.7894736842105263,0.1003568242640499,4.255338983050847,1.8534210526315789,2.401917930419268,10.525,3.591666666666667,6.933333333333334
2026-03,2025-09,2026-02,156,56,0.532051282051282,0.625,0.09294871794871795,0.8653846153846154,0.8214285714285714,0.04395604395604402,3.67025641025641,1.8419642857142857,1.8282921245421242,7.95,1.625,6.325
2026-04,2025-09,2026-03,212,50,0.5566037735849056,0.54,0.016603773584905612,0.8537735849056604,0.92,0.06622641509433969,3.187311320754717,3.2927999999999997,0.10548867924528293,5.625,7.0,1.375
2026-05,2025-09,2026-04,262,45,0.5534351145038168,0.35555555555555557,0.1978795589482612,0.8664122137404581,0.8666666666666667,0.0002544529262086259,3.2074427480916032,3.206666666666667,0.0007760814249362369,5.725,7.8,2.075
2026-06,2025-09,2026-05,307,33,0.5244299674267101,0.42424242424242425,0.10018754318428585,0.8664495114006515,0.8787878787878788,0.012338367387227267,3.207328990228013,4.1000000000000005,0.8926710097719877,6.133333333333334,8.8,2.666666666666667
2026-07,2025-09,2026-06,340,38,0.5147058823529411,0.4473684210526316,0.06733746130030954,0.8676470588235294,0.868421052631579,0.0007739938080495445,3.2939705882352937,3.727368421052631,0.43339783281733757,6.5,12.158333333333333,5.658333333333333
2026-08,2025-09,2026-07,378,27,0.5079365079365079,0.48148148148148145,0.026455026455026454,0.8677248677248677,0.8888888888888888,0.021164021164021163,3.337539682539682,3.997037037037037,0.659497354497355,6.791666666666666,11.3,4.508333333333335
2026-09,2025-09,2026-08,405,18,0.5061728395061729,0.5,0.006172839506172867,0.8691358024691358,0.8333333333333334,0.03580246913580243,3.381506172839506,4.539444444444445,1.1579382716049391,7.6,8.274999999999999,0.6749999999999989
