lot_size,trades,buy_rate,win_rate,mean_pnl,median_duration
0.01,401,0.5062344139650873,0.8603491271820449,3.2159850374064836,7.516666666666667
0.02,21,0.5238095238095238,1.0,7.3723809523809525,11.3
0.03,1,0.0,1.0,6.79,2.3833333333333333
