dt,is_trade,trade_dir,rsi_14,m5_rsi_14,m15_rsi_14,h1_rsi_14,bb_pct_b,m5_bb_pct_b,m15_bb_pct_b,h1_bb_pct_b,macd_hist,m5_macd_hist,m15_macd_hist,h1_macd_hist,stoch_k,stoch_d,m5_stoch_k,m15_stoch_k,dist_ema_8,dist_ema_21,dist_ema_50,dist_ema_200,m5_dist_ema_21,m15_dist_ema_21,h1_dist_ema_21,atr_pct_14,m5_atr_pct_14,h1_atr_pct_14,return_1,return_5,return_15,return_30,candle_body_ratio,upper_wick_ratio,lower_wick_ratio,utc_hour,utc_minute,hour_eet
2025-09-25 16:32:00,1,1.0,55.540917484689956,36.67240896467513,34.68634685351388,48.39259839595655,0.6357970309758779,0.40313690690473414,0.16534562105297929,0.41761306730277353,-0.08724351733284919,0.15983464114183965,-2.131780986295907,1.4766229567646563,48.70550161024307,49.16719692255802,45.36817101958219,37.87177792340188,1.5767232505267437,3.9145992729731134,4.328901563635256,-10.413841452227487,-4.669512239454629,-15.248867992332196,-24.00349453744894,0.051795145770238867,0.1681829956215727,0.31036736593547903,3.9831850777605204,2.6194558748660057,15.764153278958748,18.660087892494737,0.7743589739620513,0.03589743587888105,0.18974358964624707,16,32,19
2025-09-25 16:43:00,1,0.0,20.548510531715095,28.415375021461486,34.68634685351388,48.39259839595655,0.035566589157505636,0.12115804645767286,0.16534562105297929,0.41761306730277353,-1.3867572523635272,-0.4100778963364533,-2.131780986295907,1.4766229567646563,4.352741661709734,9.307607789947463,4.062229904749277,37.87177792340188,-11.7592705543916,-22.85740047629651,-30.507891713161747,-49.44363188470448,-28.151380184350995,-15.248867992332196,-24.00349453744894,0.08607808177609462,0.18452649748435604,0.31036736593547903,-5.793455273049863,-16.798595026598086,-44.08599708498051,-29.113756383686294,0.5984042551599641,0.19680851058600665,0.20478723398807178,16,43,19
2025-09-26 15:47:00,1,1.0,57.82477336498082,50.389321429062484,50.53670304366308,50.0765253945125,0.6756133519363408,0.5752833378161326,0.6430572777671612,0.6497945051320385,0.003067155848459624,0.1146365758605874,-0.010306850476116569,0.6423320748644865,58.51701140968299,49.108925807340746,44.3541102037619,57.370242210563084,4.030238121763517,4.3864038846418305,5.5673595379255305,9.413668341692452,1.477777914872564,5.569561670351034,6.768418827209615,0.06477893505721712,0.08541238889048423,0.24563000808133684,3.1446918002164814,8.639320373462489,1.7586517003631563,5.811233540946592,0.82666666611541,0.08666666660896165,0.08666666660896165,15,47,18
2025-09-29 05:46:00,1,1.0,29.780801177858933,80.24369013277023,69.39799864171519,64.5231872012455,0.05603311982707006,0.7963307315009109,0.9618252506074186,0.7568119920228437,-0.7715393719618979,1.3912338427329014,1.9353079778133266,1.039494196321769,16.068642743199412,21.49627939168444,76.6552900997725,80.34482758389782,-3.6096436665035996,-3.7574390557390496,5.174900341539569,28.26139392876153,19.959978463978345,37.12018466227147,35.35213183135881,0.04976971168313506,0.12688302697203993,0.34578856757968984,-2.2497110716912516,-1.6352949399489614,-10.540892734557383,12.202449734226573,0.4805849720219486,0.0,0.5194150274737649,5,46,8
2025-09-30 08:20:00,1,0.0,52.5099601007861,58.772333536012724,81.03922914196272,86.31458856287468,0.6575144890913028,1.052620336477824,0.8341104104930693,1.0736273361640791,0.2889294251625367,-0.3099396265978531,0.9854683934776842,1.8504638389248154,75.87131366274951,88.17247541266515,89.63659146746129,86.3458942805844,0.5503415312114552,3.145925055006447,5.920948527717015,24.974001337117702,14.844330528606827,32.93383446226282,93.82647246288008,0.03527685675320826,0.0718043103337496,0.2467836587865918,-2.514895521986693,3.2585799574058605,-0.8013887291136168,9.515311707326557,0.6305897597988189,0.0,0.3694102395530929,8,20,11
2025-09-30 08:25:00,1,0.0,76.08695639985969,62.75578586012931,81.03922914196272,86.31458856287468,0.7409375420036796,0.9163677130859962,0.8341104104930693,1.0736273361640791,0.10898351649734561,-0.2592848676248769,0.9854683934776842,1.8504638389248154,82.39202656438756,78.95902545753624,82.70676690692764,86.3458942805844,1.0834922278856232,3.3707050790817124,6.5285605136849245,25.60871601194675,12.192040338104443,32.93383446226282,93.82647246288008,0.0278848587783201,0.06989425108567471,0.2467836587865918,0.8272164554035122,1.9131457674892438,10.453660398350717,9.832040290667088,0.2815533977848096,0.17475728138353788,0.5436893198607786,8,25,11
2025-10-01 06:25:00,1,1.0,52.72952844439044,40.055302194587256,50.87095624912261,73.80622562450984,0.6684089143195241,0.3358049441915668,0.4412184076236291,0.7524985608815975,0.2264111093205752,-0.5091446814351953,-0.8787197640604507,1.6231986472874258,64.64285711976426,80.61870070337068,41.18122977013172,22.52619324665319,-0.1270503094900073,0.4592070519574968,-1.4189566335737882,-1.8880336618964466,-1.7054671904667362,0.9783399659284964,39.89115925075802,0.028050034456983022,0.08999374501593724,0.3341819466680813,-0.5435901020012235,-1.9152452225634775,7.486842974477881,3.444110247781129,0.2134831458275298,0.24719101095840754,0.5393258420904672,6,25,9
2025-10-01 08:28:00,1,0.0,58.140082305598206,63.94344065611914,46.10128277666534,71.37923568343959,0.4409640651979479,0.9274570712671197,0.5609727695559924,0.7445209779042212,-0.25428136727216655,0.8439404157287095,-0.7896334664219458,0.8778479451514709,32.988478713150975,30.92718864387814,83.2229402194472,43.34505273513946,-1.7842835380562743,-1.1448454173728935,2.3040511962993078,6.0272188146920564,11.021378888915077,5.355865334149743,36.85756129111457,0.030061587448434405,0.06960207786405403,0.3110013756363202,-0.388043299422991,-5.119747798120189,1.870791204952038,2.647258612324954,0.22567567537052335,0.0,0.7743243232781253,8,28,11
2025-10-02 05:13:00,1,1.0,61.179698157990124,72.79012340646665,58.06259592052136,33.115386910293665,1.1764105353935599,0.8150567944174508,0.7969059958762819,0.36770202866146634,0.31309082949467304,0.4587648035799087,0.6786117950140329,-2.645242635514685,96.0396039468092,73.7494283537121,84.66257668134503,89.38506587925228,7.271133219489871,9.417045948617686,12.067328841563059,16.19198927834431,7.666128287674947,6.8133502690992716,0.2206152584128094,0.038089895255096214,0.07116882646467479,0.3369567768657507,6.208440633725942,8.978855700472188,8.668078571603122,10.94755912134815,0.895522387725488,0.10447761190137764,0.0,5,13,8
2025-10-02 12:17:00,1,1.0,43.649987222365326,72.77519698215669,58.2830315042267,63.248027691254904,0.7599673293772625,0.7760116142469833,0.9308008557849821,0.9437032738287391,0.011517794586350383,0.5725408298554455,0.663429625549494,-0.14649891433267825,57.76091858565564,43.40783267512782,76.46219685617437,80.5848090792163,2.6926864814807434,3.076897364413795,6.011588948881935,15.191498802284071,8.457947748124761,15.660603742819262,21.262028157236216,0.02784969164109507,0.07806018504779719,0.24884630863933088,1.8062348647185367,4.361881287142655,0.2063938226326556,3.7680287918684385,0.7444444436176657,0.1777777775801571,0.07777777769106609,12,17,15
