model_name,exits_explained_count,exits_explained_pct,mean_pnl_abs_error,median_pnl_abs_error,mean_dur_abs_error_min,median_dur_abs_error_min
1. Fixed TP ($4.00) + Fixed SL ($3.00),112,26.47754137115839,2.6347860520094546,1.82,13.330798384554768,5.4332166666666675
2. Fixed TP ($5.00) + Fixed SL ($3.00),91,21.513002364066196,2.9547186761229356,2.2300000000008007,13.91395583136328,5.572433333333334
3. Fixed TP ($3.50) + Fixed SL ($2.50),122,28.841607565011824,2.561663120567367,1.8050000000005095,13.311088337273445,4.955666666666667
"4. Trailing Stop (Trail $1.50 from start, SL $3.00)",114,26.95035460992908,3.148449172576839,2.359999999999636,13.919720882584715,5.930716666666667
"5. Trailing Stop (Act +$3.50, Trail $1.20, SL $3.00)",119,28.132387706855795,2.6666241134751525,1.9300000000004365,13.037948226950357,4.989883333333333
"6. Trailing Stop (Act +$3.00, Trail $1.00, SL $2.50)",129,30.49645390070922,2.62500000000002,1.8299999999999272,13.343519070133961,4.918633333333333
7. Time Stop (15 min) + SL ($3.00),73,17.257683215130022,3.6842340425531948,2.495000000000436,13.660006146572105,7.1493166666666665
8. Time Stop (30 min) + SL ($3.00),33,7.801418439716312,4.979896181384263,4.0000000000002185,19.379121042163884,15.098666666666665
9. Fixed SL Only ($3.00),25,5.91016548463357,5.954684210526324,5.031499999999815,23.98071762360447,30.000349999999997
