split_name,train_bars,test_bars,train_real_trades,test_real_trades,train_sim_trades,test_sim_trades,train_matched,test_matched,train_recall_pct,test_recall_pct,train_precision_pct,test_precision_pct,generalization_ratio
Split 1 (40% Train / 20% Test),160860,80430,110,115,2428,1435,33,37,30.0,32.17391304347826,1.3591433278418452,2.578397212543554,1.072463768115942
Split 2 (50% Train / 20% Test),201075,80430,146,144,3170,1509,43,50,29.45205479452055,34.72222222222222,1.3564668769716088,3.313452617627568,1.1789405684754521
Split 3 (60% Train / 20% Test),241290,80430,225,115,3863,1602,70,44,31.11111111111111,38.26086956521739,1.812063163344551,2.746566791510612,1.2298136645962734
Split 4 (70% Train / 20% Test),281505,80430,290,97,4679,1610,93,38,32.068965517241374,39.175257731958766,1.9876041889292584,2.360248447204969,1.2215940583083917
Split 5 (80% Train / 20% Test),321720,80431,340,83,5465,1656,114,27,33.52941176470588,32.53012048192771,2.0860018298261664,1.6304347826086956,0.9701965757767915
