stage,observed_captured,observed_total,recall_pct,total_generated_bars,false_positives,precision_pct,fp_rate_pct,odds_ratio
A. Session Only (07:00-16:00 EET),344,421,81.71021377672209,175591,175247,0.19590981314532066,43.62308017822916,5.744764901620703
B. Session + ATR (H1 ATR >= 0.25%),331,421,78.62232779097387,155756,155425,0.21251187755206863,38.68892041918702,5.80479370559141
C. Session + ATR + Impulse (|ΔP| >= $0.30),274,421,65.08313539192399,123974,123700,0.22101408359817382,30.791825355338165,4.182840593864665
D. Session + ATR + Impulse + Direction,274,421,65.08313539192399,123974,123700,0.22101408359817382,30.791825355338165,4.182840593864665
E. Full Entry Rule (Single-Position Gated),81,421,19.239904988123516,34036,33955,0.2379833117875191,8.452194259826252,2.592466524219712
