pair_id,trade_1_ticket,trade_2_ticket,trade_1_open,trade_1_close,trade_2_open,trade_2_close,trade_1_side,trade_2_side,is_hedged_opposite,trade_1_pnl,trade_2_pnl,overlap_seconds,overlap_minutes
1,36168589,36168590,2025-09-29 05:46:42,2025-09-29 05:52:58,2025-09-29 05:46:47,2025-09-29 05:52:55,Buy,Buy,False,3.9,3.52,368.0,6.133333333333334
2,36227385,36227388,2025-09-30 08:20:52,2025-09-30 08:22:05,2025-09-30 08:20:57,2025-09-30 08:23:20,Sell,Sell,False,6.03,6.79,68.0,1.1333333333333333
3,36335183,36335196,2025-10-02 12:23:08,2025-10-02 12:31:38,2025-10-02 12:23:37,2025-10-02 12:31:34,Buy,Buy,False,1.32,1.22,477.0,7.95
