trade_idx,trade_dt,nn_1_dist,nn_5_dist,nn_10_dist,mean_nn_dist,std_nn_dist,min_nn_dist,is_isolated_outlier
0,2025-09-25 16:32:00,0.6375346082567769,0.7266053832323389,0.7532549081899796,0.70647966015004,0.04159030693325318,0.6375346082567769,False
1,2025-09-25 16:43:00,0.6491356344102654,0.852351570481648,0.9910357883263265,0.8398010926416761,0.11925466867190923,0.6491356344102654,False
2,2025-09-26 15:47:00,0.41968249014455905,0.5340204910484837,0.5622477140363131,0.5170397210350747,0.04252847627201584,0.41968249014455905,False
3,2025-09-29 05:46:00,0.4781704168875934,0.5377424640790559,0.6201822069307938,0.5535601041642939,0.04267963735439807,0.4781704168875934,False
4,2025-09-30 08:20:00,0.23247344152069244,0.4186128297724775,0.4420175185507477,0.3945387496096384,0.059267309367783884,0.23247344152069244,False
5,2025-09-30 08:25:00,0.27129258762455893,0.3691977780824936,0.4337794050316249,0.36688815844506006,0.045948272485942784,0.27129258762455893,False
6,2025-10-01 06:25:00,0.38966243880260726,0.4359778383313218,0.4631425722119177,0.4327382373406491,0.021899568686974093,0.38966243880260726,False
7,2025-10-01 08:28:00,0.29878611285201584,0.38671418587742457,0.3988717111132393,0.36996283586326567,0.032286979067535186,0.29878611285201584,False
8,2025-10-02 05:13:00,0.3916578472495397,0.49366413684390414,0.537375532961807,0.49726040068878313,0.042515060588189164,0.3916578472495397,False
9,2025-10-02 12:17:00,0.42711139650170016,0.4795827563599716,0.49203251178878593,0.4730080980358535,0.020706017218174926,0.42711139650170016,False
10,2025-10-02 12:23:00,0.29805216568114795,0.4230775145604043,0.43728321760169164,0.4022596714149637,0.043667842125376936,0.29805216568114795,False
11,2025-10-02 13:13:00,0.36954279201203843,0.454770653532058,0.4913825755546243,0.4527314585410642,0.03674910672842545,0.36954279201203843,False
12,2025-10-03 07:17:00,0.20322902930539677,0.29838395275045604,0.3535481464120268,0.29741022046533283,0.049020139295564896,0.20322902930539677,False
13,2025-10-03 15:18:00,0.2730706862046606,0.3485222501262031,0.3720520853302853,0.34126068527129555,0.03367965393213574,0.2730706862046606,False
