fold,train_bars,test_bars,test_positive_trades,roc_auc,pr_auc,precision_top_0.5pct,recall_top_0.5pct
1,67025,66965,60,0.5812164013651198,0.001732497580445165,0.008955223880597015,0.05
2,134050,66965,61,0.6927662929805956,0.0016970003489871093,0.0,0.0
3,201075,66965,123,0.6646658313026982,0.003036944025395257,0.0029850746268656717,0.008130081300813009
4,268100,66965,88,0.7034331683538435,0.0024051353246992177,0.0029850746268656717,0.011363636363636364
5,335125,66966,66,0.6387686279838747,0.0016471148934449791,0.0029850746268656717,0.015151515151515152
