window,captured_trades,recall_pct,total_bars,false_positives,precision_pct,recall_train_pct,recall_val_pct,recall_test_pct,split_stability_std
Candidate (07:00-16:00 EET),344,81.71021377672209,175591,175247,0.19590981314532066,83.85650224215246,79.13043478260869,79.51807228915662,2.1423753931272094
Late Start (08:00-16:00 EET),313,74.34679334916865,158071,157758,0.1980122856184879,81.61434977578476,70.43478260869566,60.24096385542169,8.728741086006433
Extended NY (07:00-17:00 EET),360,85.5106888361045,193171,192811,0.18636337752561202,88.34080717488789,82.6086956521739,81.92771084337349,2.876120986790884
London Core (09:00-17:00 EET),272,64.60807600950119,158131,157859,0.1720092834422093,79.37219730941703,57.391304347826086,34.93975903614458,18.139806176777736
NY Core (15:00-23:00 EET),116,27.55344418052256,158097,157981,0.0733726762683669,26.905829596412556,31.30434782608696,24.096385542168676,2.966379364311031
Full 24-Hour Market,421,100.0,402151,401730,0.10468704541329005,100.0,100.0,100.0,0.0
