second_of_minute,trade_count,trade_pct,expected_uniform_pct
0,4,0.9456264775413712,1.6666666666666667
1,6,1.4184397163120568,1.6666666666666667
2,8,1.8912529550827424,1.6666666666666667
3,5,1.1820330969267139,1.6666666666666667
4,12,2.8368794326241136,1.6666666666666667
5,7,1.6548463356973995,1.6666666666666667
6,8,1.8912529550827424,1.6666666666666667
7,4,0.9456264775413712,1.6666666666666667
8,8,1.8912529550827424,1.6666666666666667
9,8,1.8912529550827424,1.6666666666666667
10,10,2.3640661938534278,1.6666666666666667
11,8,1.8912529550827424,1.6666666666666667
12,5,1.1820330969267139,1.6666666666666667
13,4,0.9456264775413712,1.6666666666666667
14,12,2.8368794326241136,1.6666666666666667
15,4,0.9456264775413712,1.6666666666666667
16,9,2.127659574468085,1.6666666666666667
17,9,2.127659574468085,1.6666666666666667
18,10,2.3640661938534278,1.6666666666666667
19,5,1.1820330969267139,1.6666666666666667
20,4,0.9456264775413712,1.6666666666666667
21,7,1.6548463356973995,1.6666666666666667
22,6,1.4184397163120568,1.6666666666666667
23,6,1.4184397163120568,1.6666666666666667
24,7,1.6548463356973995,1.6666666666666667
25,3,0.7092198581560284,1.6666666666666667
26,12,2.8368794326241136,1.6666666666666667
27,7,1.6548463356973995,1.6666666666666667
28,4,0.9456264775413712,1.6666666666666667
29,3,0.7092198581560284,1.6666666666666667
30,7,1.6548463356973995,1.6666666666666667
31,6,1.4184397163120568,1.6666666666666667
32,5,1.1820330969267139,1.6666666666666667
33,11,2.6004728132387704,1.6666666666666667
34,1,0.2364066193853428,1.6666666666666667
35,11,2.6004728132387704,1.6666666666666667
36,4,0.9456264775413712,1.6666666666666667
37,7,1.6548463356973995,1.6666666666666667
38,2,0.4728132387706856,1.6666666666666667
39,5,1.1820330969267139,1.6666666666666667
40,8,1.8912529550827424,1.6666666666666667
41,7,1.6548463356973995,1.6666666666666667
42,8,1.8912529550827424,1.6666666666666667
43,6,1.4184397163120568,1.6666666666666667
44,8,1.8912529550827424,1.6666666666666667
45,9,2.127659574468085,1.6666666666666667
46,10,2.3640661938534278,1.6666666666666667
47,6,1.4184397163120568,1.6666666666666667
48,7,1.6548463356973995,1.6666666666666667
49,5,1.1820330969267139,1.6666666666666667
50,10,2.3640661938534278,1.6666666666666667
51,15,3.546099290780142,1.6666666666666667
52,6,1.4184397163120568,1.6666666666666667
53,9,2.127659574468085,1.6666666666666667
54,9,2.127659574468085,1.6666666666666667
55,5,1.1820330969267139,1.6666666666666667
56,10,2.3640661938534278,1.6666666666666667
57,6,1.4184397163120568,1.6666666666666667
58,5,1.1820330969267139,1.6666666666666667
59,10,2.3640661938534278,1.6666666666666667
