impulse_threshold_dollars,captured_trades,recall_pct,total_bars,precision_pct,f1_score
0.05,326,77.43467933491686,150378,0.21678703001768873,0.4323636098382615
0.1,316,75.05938242280284,144623,0.21849913222654763,0.43572984749455335
0.15000000000000002,308,73.15914489311164,139329,0.22105950663537383,0.4407871198568873
0.2,294,69.83372921615202,133777,0.21976871958557898,0.43815854185606345
0.25,284,67.45843230403801,129317,0.2196153637959433,0.43780542323760196
0.3,274,65.08313539192399,123974,0.22101408359817382,0.44053217573053577
0.35000000000000003,267,63.42042755344418,118778,0.22478910235902272,0.44799033548939166
0.4,256,60.80760095011877,113964,0.22463234003720473,0.4476111378240154
0.45,240,57.00712589073634,109064,0.22005428005574706,0.43841622140019176
0.5,235,55.819477434679335,105069,0.2236625455652952,0.44553986159825576
0.55,226,53.681710213776725,100382,0.2251399653324301,0.4483993531938533
0.6000000000000001,217,51.543942992874115,95879,0.2263269329050157,0.45067497403946
0.6500000000000001,211,50.1187648456057,91677,0.23015587333791465,0.4582075615105649
0.7000000000000001,199,47.26840855106889,87465,0.22751957926027555,0.4528593860228023
0.7500000000000001,192,45.605700712589076,83395,0.23022963007374542,0.4581464159587668
0.8,187,44.418052256532064,80210,0.23313801271661888,0.4638414505587181
0.8500000000000001,182,43.23040380047506,76445,0.23807966511871279,0.4735513751203393
0.9000000000000001,179,42.517814726840854,72990,0.24523907384573232,0.4876653362575092
0.9500000000000001,169,40.142517814726844,69607,0.24279167325125345,0.4826640772262524
1.0,164,38.95486935866984,66929,0.24503578418921543,0.48700816629547145
