trade_idx,real_dt,real_return_1,real_return_5,real_rsi_14,real_h1_atr_pct,ctrl_dt,ctrl_return_1,ctrl_return_5,ctrl_rsi_14,ctrl_h1_atr_pct,hour_matched,atr_abs_diff,ret1_abs_diff
0,2025-09-25 16:32:00,3.9831850777605204,2.6194558748660057,55.540917484689956,0.31036736593547903,2025-09-25 16:24:00,-4.051042602708499,3.2415950357900236,78.30444761632373,0.31036736593547903,True,0.0,8.03422768046902
1,2025-09-25 16:43:00,-5.793455273049863,-16.798595026598086,20.548510531715095,0.31036736593547903,2025-09-25 16:59:00,5.8696645017697335,16.804513043420233,65.06947145777721,0.31036736593547903,True,0.0,11.663119774819597
2,2025-09-26 15:47:00,3.1446918002164814,8.639320373462489,57.82477336498082,0.24563000808133684,2025-09-26 15:45:00,3.1271285735035015,-0.7115284937853072,40.85036872880725,0.24563000808133684,True,0.0,0.01756322671297994
3,2025-09-29 05:46:00,-2.2497110716912516,-1.6352949399489614,29.780801177858933,0.34578856757968984,2026-08-04 05:49:00,-2.265242682588653,-2.929847389420148,56.19573790159739,0.3461624770646244,True,0.00037390948493454257,0.015531610897401293
4,2025-09-30 08:20:00,-2.514895521986693,3.2585799574058605,52.5099601007861,0.2467836587865918,2025-09-30 08:49:00,2.50856986949044,-2.1971971519152422,49.39117194128847,0.2467836587865918,True,0.0,5.023465391477133
5,2025-09-30 08:25:00,0.8272164554035122,1.9131457674892438,76.08695639985969,0.2467836587865918,2025-09-30 08:35:00,-0.827259225556487,-2.5330491838027047,49.32301736360259,0.2467836587865918,True,0.0,1.6544756809599992
6,2025-10-01 06:25:00,-0.5435901020012235,-1.9152452225634775,52.72952844439044,0.3341819466680813,2025-10-02 06:25:00,0.5427948506864233,1.4734374131597505,70.78841992746237,0.3332257354640783,True,0.0009562112040030213,1.0863849526876468
7,2025-10-01 08:28:00,-0.388043299422991,-5.119747798120189,58.140082305598206,0.3110013756363202,2025-10-08 08:06:00,0.3798698759460706,7.784402125368128,65.3926016368911,0.3085064884265925,True,0.002494887209727681,0.7679131753690616
8,2025-10-02 05:13:00,6.208440633725942,8.978855700472188,61.179698157990124,0.3369567768657507,2026-06-03 05:45:00,-6.318649729112336,-15.03553092266574,47.03812312853349,0.33923410468048104,True,0.0022773278147303344,12.527090362838278
9,2025-10-02 12:17:00,1.8062348647185367,4.361881287142655,43.649987222365326,0.24884630863933088,2025-10-02 12:16:00,1.8065611720974317,3.6395972695291157,46.24424513600547,0.24884630863933088,True,0.0,0.0003263073788950521
10,2025-10-02 12:23:00,1.6516747078276772,-3.6369217197751436,56.95562189039027,0.24884630863933088,2025-10-02 12:53:00,-1.624340144045222,-1.2041249659977549,55.76113298702741,0.24884630863933088,True,0.0,3.2760148518728993
11,2025-10-02 13:13:00,0.10318812614151796,-7.836071447443471,31.007751870679527,0.23986334876908216,2025-10-02 13:38:00,-0.09533170925890566,-0.5333189053824405,37.284068972652534,0.23986334876908216,True,0.0,0.19851983540042362
