specification,selected_alpha,lockbox_counting_process_log_likelihood,incremental_bits_per_exit_vs_age,sign_flip_pvalue_vs_age,ks_statistic,ks_pvalue,mean_rescaled_event_time,calibration_gate
age_calendar,0.01,-779.7320452078848,0.0,1.0,0.19952053035072448,0.0006780677999806972,0.5984584431762136,FAIL
peak_distance_calendar,1.0,-781.03825060015,-0.019229143283709463,0.6012699365031748,0.16231937604919114,0.01006445611447837,0.5736608330021096,FAIL
age_plus_peak_distance,0.1,-780.8467174920713,-0.01640951200624811,0.6189690515474227,0.168020567912494,0.006905159251960558,0.577930652849312,FAIL
