entry_timestamp,tickets,near_miss_rank,near_miss_timestamp,state_distance,minutes_from_entry,entry_m1_body_abs,near_miss_m1_body_abs,entry_m1_body_ratio,near_miss_m1_body_ratio,entry_m1_range_expansion,near_miss_m1_range_expansion,entry_m1_atr_ratio,near_miss_m1_atr_ratio,entry_m1_velocity_5,near_miss_m1_velocity_5,entry_m1_ema9_20_spread,near_miss_m1_ema9_20_spread,entry_m1_vwap_dist,near_miss_m1_vwap_dist,entry_hour_sin,near_miss_hour_sin,entry_hour_cos,near_miss_hour_cos
2025-09-30 11:25:00,36228676,2,2025-09-30 12:21:00,1.0099295248968838,56.0,3.03,2.12,0.74814814,0.69508195,1.2945501,1.0166667,0.0008724991,0.00094941177,-0.7850031,-0.3406064,-1.1134063,-0.999475,-6.6223593,-11.859147,0.15212339,-0.091501616,-0.98836154,-0.9958049
2025-09-30 11:25:00,36228676,3,2025-09-30 11:13:00,1.040921396642661,-12.0,3.03,3.477,0.74814814,0.7413646,1.2945501,1.8611112,0.0008724991,0.00070204766,-0.7850031,-0.64512736,-1.1134063,-0.9714327,-6.6223593,-6.4227805,0.15212339,0.20364176,-0.98836154,-0.97904545
2025-10-01 09:25:00,36274877,1,2025-10-01 07:41:00,0.913598366730636,-104.0,1.49,0.94,0.8563218,0.8173913,1.3282443,1.3939394,0.00036849122,0.00024757392,0.66840124,0.29311994,-1.0671238,-0.8343662,-4.3738637,-5.1666894,0.62592345,0.9044551,-0.77988446,-0.42656875
2025-10-01 09:25:00,36274877,2,2025-10-01 09:15:00,1.1591009071581282,-10.0,1.49,1.07,0.8563218,0.7086093,1.3282443,1.148289,0.00036849122,0.00031816927,0.66840124,-0.64351016,-1.0671238,-0.8622895,-4.3738637,-4.101613,0.62592345,0.6593458,-0.77988446,-0.7518398
2025-10-01 09:25:00,36274877,3,2025-10-01 10:03:00,1.2148091438271948,38.0,1.49,1.37,0.8563218,0.8404908,1.3282443,1.0830564,0.00036849122,0.00039778303,0.66840124,1.1266133,-1.0671238,-0.40182877,-4.3738637,-1.8297476,0.62592345,0.48862123,-0.77988446,-0.872496
2025-10-01 11:28:00,36283671,1,2025-10-01 11:11:00,1.1181332873901992,-17.0,0.65,1.18,0.6372549,0.5959596,0.52040815,1.074044,0.00048627736,0.0004501993,-0.51767886,0.2630143,1.3058578,1.4139434,14.416817,11.6064005,0.1391731,0.21217768,-0.99026805,-0.9772311
2025-10-01 11:28:00,36283671,2,2025-10-01 11:29:00,1.1629779816774246,1.0,0.65,1.33,0.6372549,0.9047619,0.52040815,0.79891306,0.00048627736,0.00047867844,-0.51767886,-0.42408216,1.3058578,1.1656028,14.416817,13.916291,0.1391731,0.13485093,-0.99026805,-0.9908659
2025-10-01 11:28:00,36283671,3,2025-10-01 11:00:00,1.2135240267085727,-28.0,0.65,0.94,0.6372549,0.6666667,0.52040815,0.8980892,0.00048627736,0.0004297012,-0.51767886,0.6959406,1.3058578,1.1232541,14.416817,8.995865,0.1391731,0.25881904,-0.99026805,-0.9659258
2025-10-02 08:13:00,36322976,1,2025-10-02 08:16:00,0.7438260813175687,3.0,0.49,0.403,0.42350906,0.39509803,1.3375722,1.1227298,0.0002211433,0.00021733365,0.054946266,1.0110878,1.1803733,1.1236321,6.4872756,6.7566004,0.8362861,0.82903755,-0.54829323,-0.5591929
2025-10-02 08:13:00,36322976,2,2025-10-02 08:18:00,0.8596803268580486,5.0,0.49,0.25,0.42350906,0.23518345,1.3375722,1.1055642,0.0002211433,0.00023262984,0.054946266,0.066679634,1.1803733,0.97042924,6.4872756,6.185072,0.8362861,0.8241262,-0.54829323,-0.56640625
