evaluation,model,fold,train_entry_bars,test_entry_bars,candidate_signals,tp,fp,fn,precision,recall,f1,roc_auc,pr_auc,direction_accuracy_matched,entry_match_1s,entry_match_2s,entry_match_5s,entry_match_10s,entry_match_15s,entry_match_30s,entry_match_60s,entry_match_one_m1_bar,threshold,feature_count,complexity
oos_aggregate,E1 completed-bar events,all,,306,19312,26,19286,280,0.0013463131731565865,0.08496732026143791,0.0025835348719483037,0.5146995678316073,0.001529168944909718,0.736111111111111,0.011307189542483661,0.015751633986928103,0.024640522875816993,0.038092320261437905,0.043974673202614376,0.10030794369029664,0.17204436902966314,0.3198686525892408,,21,L1 logistic
oos_aggregate,E2 events + eligibility state,all,,306,2236,10,2226,296,0.004472271914132379,0.032679738562091505,0.008506183841141475,0.7128211765348059,0.003248880587830133,0.6666666666666666,0.0,0.0044444444444444444,0.008888888888888889,0.013333333333333332,0.017777777777777778,0.0351131221719457,0.04117929864253393,0.051506096028154855,,34,L1 logistic
oos_aggregate,E3 constrained event tree,all,,306,2480,10,2470,296,0.004032258064516129,0.032679738562091505,0.00516519796138686,0.7269489978693213,0.002945750787144705,0.3111111111111111,0.0058823529411764705,0.0058823529411764705,0.011948529411764707,0.035845588235294115,0.05035822021116139,0.10604732277526394,0.17075320512820513,0.18012820512820513,,39,depth-3 tree
oos_fold,E1 completed-bar events,1,114.0,68,3852,8,3844,60,0.0020768431983385254,0.11764705882352941,0.004081632653061225,0.5139437606271625,0.0018868425265904985,0.625,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.04411764705882353,0.07352941176470588,0.1323529411764706,0.20588235294117646,0.3088235294117647,0.5647813097831624,21,L1 logistic
oos_fold,E1 completed-bar events,2,182.0,78,893,1,892,77,0.0011198208286674132,0.01282051282051282,0.0020597322348094747,0.4831069909101772,0.0017124736586257845,1.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0641025641025641,0.08974358974358974,0.6550717472466225,21,L1 logistic
oos_fold,E1 completed-bar events,3,260.0,64,4829,6,4823,58,0.0012424932698281218,0.09375,0.002452483139178418,0.5370857926747161,0.001593938852776538,0.6666666666666666,0.0,0.0,0.0,0.015625,0.015625,0.0625,0.15625,0.46875,0.5690052711297107,21,L1 logistic
oos_fold,E1 completed-bar events,4,324.0,51,1913,2,1911,49,0.0010454783063251437,0.0392156862745098,0.002036659877800407,0.5439966123472555,0.001310954324791952,0.5,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.058823529411764705,0.0784313725490196,0.17647058823529413,0.6063649513194204,21,L1 logistic
oos_fold,E1 completed-bar events,5,375.0,45,7825,9,7816,36,0.0011501597444089457,0.2,0.002287166454891995,0.4953646825987251,0.0011416353617638166,0.8888888888888888,0.022222222222222223,0.044444444444444446,0.08888888888888889,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.35555555555555557,0.5555555555555556,0.5533512412910051,21,L1 logistic
oos_fold,E2 events + eligibility state,1,114.0,68,182,3,179,65,0.016483516483516484,0.04411764705882353,0.024,0.7202686784129928,0.004278580049318458,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.04411764705882353,0.07352941176470588,0.9580037494565491,34,L1 logistic
oos_fold,E2 events + eligibility state,2,182.0,78,2,0,2,78,0.0,0.0,0.0,0.70174487915899,0.004197082498540018,,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.9684894394266095,34,L1 logistic
