clock_event,eligible_event_minutes,entry_bars_on_event,trade_rate_event,trade_rate_non_event,rate_ratio_event_vs_non_event,matched_permutation_p,matched_bh_q
boundary_5,69337,99,0.0014278091062491886,0.0011574115806059645,1.2336226197958526,0.7136431784107946,0.7893158683815987
boundary_15,23111,47,0.002033663623382805,0.0011527680340205643,1.7641568497435678,0.025987006496751622,0.18190904547726136
boundary_30,11554,36,0.0031158040505452657,0.001145837684930444,2.719236844382898,0.0009995002498750624,0.010494752623688156
boundary_60,5779,20,0.003460806367883717,0.0011733611811053648,2.9494808790448177,0.0004997501249375312,0.010494752623688156
