hypothesis,stored_price_role,implied_counterpart_role,median_open_error,p95_open_error,median_close_error,p95_close_error,median_joint_error,open_in_bar_pct,close_in_bar_pct,both_in_bar_pct,verdict
H_ENTRY,Entry Price (Open Price),Exit Price (Close Price),0.965,8.305,0.875,11.249,1.944,85.34,74.23,69.03,CONFIRMED (Strong Empirical & Structural Support)
H_EXIT,Exit Price (Close Price),Entry Price (Open Price),4.661,13.174,4.265,12.004,8.93,17.49,13.48,6.86,"REJECTED (Errors 4.5x Higher, In-Bar Rate 3.2x Lower)"
