fold,train_n,test_n,accuracy,roc_auc,buy_pr_auc
1,17,11,0.36363636363636365,0.36666666666666664,0.45479797979797976
2,28,16,0.3125,0.2698412698412698,0.45672259838926504
3,44,13,0.5384615384615384,0.275,0.36050505050505055
4,57,9,0.5555555555555556,0.7,0.8083333333333333
5,66,7,0.42857142857142855,0.16666666666666666,0.36507936507936506
