trade_idx,ticket,side,volume,recorded_pnl,reconstructed_gross_pnl,reconstructed_net_pnl_spread,residual_vs_recorded,cumulative_recorded_pnl,cumulative_reconstructed_pnl
378,37162697,Buy,0.01,4.38,-0.2,-0.55,4.93,1298.94,882.85
379,37145681,Sell,0.01,4.13,6.0,5.65,-1.52,1303.07,888.5
380,37082195,Buy,0.02,9.36,14.7,14.0,-4.64,1312.43,902.5
381,37045628,Sell,0.02,6.5,7.75,7.05,-0.55,1318.93,909.55
382,37005647,Sell,0.01,3.73,1.52,1.17,2.56,1322.66,910.72
383,36998918,Buy,0.01,4.74,7.13,6.78,-2.04,1327.4,917.5
384,36997575,Buy,0.01,-1.96,-4.14,-4.49,2.53,1325.44,913.01
385,36954767,Sell,0.01,3.94,4.46,4.11,-0.17,1329.38,917.12
386,36902372,Sell,0.01,2.84,2.08,1.73,1.11,1332.22,918.85
387,36893509,Buy,0.01,1.94,1.06,0.71,1.23,1334.16,919.56
388,36829995,Buy,0.02,3.94,6.03,5.33,-1.39,1338.1,924.89
389,36829878,Buy,0.01,-2.92,1.78,1.43,-4.35,1335.18,926.32
390,36829765,Sell,0.01,0.45,2.36,2.01,-1.56,1335.63,928.33
391,36768836,Buy,0.02,7.8,9.5,8.8,-1.0,1343.43,937.13
392,36726171,Sell,0.02,5.0,4.51,3.81,1.19,1348.43,940.94
393,36725889,Sell,0.02,4.94,4.1,3.4,1.54,1353.37,944.34
394,36682106,Sell,0.01,0.71,0.53,0.18,0.53,1354.08,944.52
395,36640713,Buy,0.02,4.56,7.43,6.73,-2.17,1358.64,951.25
396,36562770,Buy,0.01,2.88,3.05,2.7,0.18,1361.52,953.95
397,36562289,Buy,0.01,4.04,4.48,4.13,-0.09,1365.56,958.08
398,36561296,Sell,0.02,2.84,4.37,3.67,-0.83,1368.4,961.75
399,36508993,Buy,0.02,5.04,10.76,10.06,-5.02,1373.44,971.81
400,36508676,Buy,0.01,2.27,2.05,1.7,0.57,1375.71,973.51
401,36508294,Sell,0.02,4.98,6.88,6.18,-1.2,1380.69,979.69
402,36451248,Buy,0.01,1.43,1.96,1.61,-0.18,1382.12,981.3
403,36450588,Sell,0.01,3.62,3.98,3.63,-0.01,1385.74,984.93
404,36450406,Sell,0.01,-1.71,-3.25,-3.6,1.89,1384.03,981.33
405,36416362,Sell,0.01,3.02,2.78,2.43,0.59,1387.05,983.76
406,36414174,Sell,0.01,2.46,2.9,2.55,-0.09,1389.51,986.31
407,36383087,Buy,0.01,7.8,3.78,3.43,4.37,1397.31,989.74
408,36368405,Buy,0.01,1.2,1.64,1.29,-0.09,1398.51,991.03
409,36337657,Sell,0.01,1.81,2.4,2.05,-0.24,1400.32,993.08
410,36335183,Buy,0.01,1.32,-0.66,-1.01,2.33,1401.64,992.07
411,36335196,Buy,0.01,1.22,-0.66,-1.01,2.23,1402.86,991.06
412,36334931,Buy,0.01,1.43,1.63,1.28,0.15,1404.29,992.34
413,36322976,Buy,0.01,1.21,2.83,2.48,-1.27,1405.5,994.82
414,36283671,Sell,0.01,6.25,3.2,2.85,3.4,1411.75,997.67
415,36274877,Buy,0.01,2.01,1.84,1.49,0.52,1413.76,999.16
416,36228676,Sell,0.01,12.91,11.11,10.76,2.15,1426.67,1009.92
417,36227388,Sell,0.03,6.79,14.14,13.09,-6.3,1433.46,1023.01
418,36227385,Sell,0.01,6.03,7.42,7.07,-1.04,1439.49,1030.08
419,36168589,Buy,0.01,3.9,4.1,3.75,0.15,1443.39,1033.83
420,36168590,Buy,0.01,3.52,4.1,3.75,-0.23,1446.91,1037.58
421,36148327,Buy,0.01,0.82,1.16,0.81,0.01,1447.73,1038.39
422,36095791,Sell,0.01,2.52,2.97,2.62,-0.1,1450.25,1041.01
423,36094988,Buy,0.01,0.97,0.73,0.38,0.59,1451.22,1041.39
