trade_idx,ticket,side,volume,recorded_pnl,reconstructed_gross_pnl,reconstructed_net_pnl_spread,residual_vs_recorded,cumulative_recorded_pnl,cumulative_reconstructed_pnl
114,93309253,Sell,0.01,5.05,5.15,4.8,0.25,457.23,454.71
115,93277546,Sell,0.01,5.5,-0.83,-1.18,6.68,462.73,453.53
116,93252299,Sell,0.01,3.84,3.51,3.16,0.68,466.57,456.69
117,93235333,Buy,0.01,6.35,6.59,6.24,0.11,472.92,462.93
118,93210316,Sell,0.01,2.66,3.18,2.83,-0.17,475.58,465.76
119,93199497,Buy,0.01,4.58,4.42,4.07,0.51,480.16,469.83
120,93184362,Sell,0.01,-2.98,-1.14,-1.49,-1.49,477.18,468.34
121,93169426,Sell,0.01,6.17,8.03,7.68,-1.51,483.35,476.02
122,93131167,Sell,0.01,3.75,2.47,2.12,1.63,487.1,478.14
123,93121138,Sell,0.01,3.87,0.29,-0.06,3.93,490.97,478.08
124,93095183,Sell,0.01,4.17,3.81,3.46,0.71,495.14,481.54
125,93091481,Sell,0.01,-2.57,-2.47,-2.82,0.25,492.57,478.72
126,93086094,Sell,0.01,4.61,3.02,2.67,1.94,497.18,481.39
127,93070782,Sell,0.01,5.24,5.17,4.82,0.42,502.42,486.21
128,93064584,Buy,0.02,6.5,5.96,5.26,1.24,508.92,491.47
129,93037747,Sell,0.01,4.0,2.73,2.38,1.62,512.92,493.85
130,93029514,Buy,0.01,3.09,2.79,2.44,0.65,516.01,496.29
131,93028917,Sell,0.01,-2.66,-1.47,-1.82,-0.84,513.35,494.47
132,92991008,Sell,0.01,5.53,5.25,4.9,0.63,518.88,499.37
133,92943988,Buy,0.01,3.4,-1.07,-1.42,4.82,522.28,497.95
134,92905766,Sell,0.01,4.06,5.8,5.45,-1.39,526.34,503.4
135,92901499,Sell,0.01,2.9,2.7,2.35,0.55,529.24,505.75
136,92878258,Sell,0.01,4.72,-2.5,-2.85,7.57,533.96,502.9
137,92873305,Buy,0.01,-2.38,-2.93,-3.28,0.9,531.58,499.62
138,92863125,Buy,0.01,7.45,5.85,5.5,1.95,539.03,505.12
139,92816284,Sell,0.01,7.18,6.97,6.62,0.56,546.21,511.74
140,92794484,Sell,0.01,4.14,3.35,3.0,1.14,550.35,514.74
141,92755985,Buy,0.01,2.64,1.67,1.32,1.32,552.99,516.06
142,92749649,Sell,0.01,2.85,2.13,1.78,1.07,555.84,517.84
143,92708453,Sell,0.01,1.18,1.86,1.51,-0.33,557.02,519.35
144,92707912,Buy,0.01,-2.09,0.34,-0.01,-2.08,554.93,519.34
145,92704162,Sell,0.01,2.59,2.63,2.28,0.31,557.52,521.62
146,92699406,Buy,0.01,3.18,3.88,3.53,-0.35,560.7,525.15
147,92660254,Buy,0.01,2.73,-1.08,-1.43,4.16,563.43,523.72
148,92649888,Buy,0.01,4.27,3.96,3.61,0.66,567.7,527.33
149,92626347,Sell,0.01,1.66,1.8,1.45,0.21,569.36,528.78
150,92611594,Buy,0.01,2.56,1.65,1.3,1.26,571.92,530.08
151,92561346,Sell,0.01,5.57,2.92,2.57,3.0,577.49,532.65
152,92535886,Sell,0.01,4.16,2.17,1.82,2.34,581.65,534.47
153,92461110,Buy,0.01,3.81,4.01,3.66,0.15,585.46,538.13
154,92408965,Sell,0.01,3.79,1.34,0.99,2.8,589.25,539.12
155,92396538,Sell,0.01,1.28,3.79,3.44,-2.16,590.53,542.56
156,92342438,Sell,0.01,4.84,5.25,4.9,-0.06,595.37,547.46
157,92331897,Sell,0.01,3.38,3.77,3.42,-0.04,598.75,550.88
158,92319804,Buy,0.01,-2.54,-1.15,-1.5,-1.04,596.21,549.38
159,92286476,Sell,0.01,1.77,1.03,0.68,1.09,597.98,550.06
160,92274667,Buy,0.01,8.74,6.5,6.15,2.59,606.72,556.21
161,92218142,Sell,0.01,4.15,5.17,4.82,-0.67,610.87,561.03
162,92181621,Buy,0.01,5.54,3.95,3.6,1.94,616.41,564.63
163,92125361,Sell,0.01,3.82,2.84,2.49,1.33,620.23,567.12
164,92117158,Buy,0.01,2.98,1.8,1.45,1.53,623.21,568.57
165,92099847,Buy,0.01,2.23,1.51,1.16,1.07,625.44,569.73
166,92067522,Buy,0.01,7.36,6.4,6.05,1.31,632.8,575.78
167,92029007,Sell,0.01,4.28,6.44,6.09,-1.81,637.08,581.87
168,92024986,Buy,0.01,3.9,3.72,3.37,0.53,640.98,585.24
169,91984519,Buy,0.01,5.78,8.36,8.01,-2.23,646.76,593.25
170,91973017,Sell,0.01,3.17,4.22,3.87,-0.7,649.93,597.12
171,91954421,Buy,0.01,2.91,3.06,2.71,0.2,652.84,599.83
172,91919177,Buy,0.01,2.69,5.16,4.81,-2.12,655.53,604.64
173,91873683,Sell,0.01,7.53,4.58,4.23,3.3,663.06,608.87
174,91863976,Sell,0.01,3.89,6.07,5.72,-1.83,666.95,614.59
175,91824729,Buy,0.01,3.78,1.71,1.36,2.42,670.73,615.95
176,91806444,Buy,0.01,5.19,4.09,3.74,1.45,675.92,619.69
177,91797166,Buy,0.01,0.82,0.91,0.56,0.26,676.74,620.25
178,91776198,Sell,0.01,-1.53,-1.37,-1.72,0.19,675.21,618.53
179,91740834,Sell,0.01,4.4,4.55,4.2,0.2,679.61,622.73
180,91655142,Buy,0.01,3.8,3.11,2.76,1.04,683.41,625.49
181,91645065,Sell,0.01,4.0,4.75,4.4,-0.4,687.41,629.89
182,91596159,Sell,0.01,2.19,0.29,-0.06,2.25,689.6,629.83
183,91585973,Buy,0.01,3.38,1.84,1.49,1.89,692.98,631.32
184,91531357,Sell,0.01,2.0,-1.7,-2.05,4.05,694.98,629.27
185,91515698,Sell,0.01,4.27,4.47,4.12,0.15,699.25,633.39
186,91488864,Buy,0.01,3.37,-0.4,-0.75,4.12,702.62,632.64
187,91448019,Sell,0.01,1.1,0.41,0.06,1.04,703.72,632.7
188,91431248,Buy,0.01,4.42,2.06,1.71,2.71,708.14,634.41
189,91397685,Buy,0.01,2.98,1.88,1.53,1.45,711.12,635.94
190,91356501,Sell,0.01,2.56,0.84,0.49,2.07,713.68,636.43
191,91352434,Buy,0.01,3.06,1.59,1.24,1.82,716.74,637.67
192,91276550,Buy,0.01,5.46,4.75,4.4,1.06,722.2,642.07
193,91267485,Buy,0.01,4.78,3.37,3.02,1.76,726.98,645.09
194,91267065,Buy,0.01,-1.88,-1.21,-1.56,-0.32,725.1,643.53
195,91227583,Buy,0.01,2.31,0.0,-0.35,2.66,727.41,643.18
196,91206718,Buy,0.01,2.93,0.27,-0.08,3.01,730.34,643.1
197,91202282,Sell,0.01,2.25,6.17,5.82,-3.57,732.59,648.92
198,91200522,Buy,0.01,0.06,-3.91,-4.26,4.32,732.65,644.66
199,91162669,Buy,0.01,5.42,4.23,3.88,1.54,738.07,648.54
200,91124606,Buy,0.01,8.9,-2.03,-2.38,11.28,746.97,646.16
201,91045329,Buy,0.01,1.86,-3.57,-3.92,5.78,748.83,642.24
202,91024794,Sell,0.01,4.19,6.4,6.05,-1.86,753.02,648.29
203,91022147,Buy,0.01,1.88,0.0,-0.35,2.23,754.9,647.94
204,90970712,Sell,0.01,3.9,4.47,4.12,-0.22,758.8,652.06
205,90967915,Sell,0.01,-0.77,-1.5,-1.85,1.08,758.03,650.21
206,90964953,Sell,0.01,2.34,1.54,1.19,1.15,760.37,651.4
207,90928037,Sell,0.01,1.74,0.54,0.19,1.55,762.11,651.59
208,90927563,Sell,0.01,-1.09,0.0,-0.35,-0.74,761.02,651.24
209,90900649,Sell,0.01,7.5,6.47,6.12,1.38,768.52,657.36
210,90783770,Sell,0.01,3.32,3.66,3.31,0.01,771.84,660.67
211,90765592,Sell,0.01,3.67,7.05,6.7,-3.03,775.51,667.37
212,90724112,Buy,0.01,1.53,-0.73,-1.08,2.61,777.04,666.29
213,90689174,Buy,0.01,1.47,3.31,2.96,-1.49,778.51,669.25
214,90670870,Buy,0.01,4.39,3.96,3.61,0.78,782.9,672.86
215,90468624,Sell,0.01,5.27,3.7,3.35,1.92,788.17,676.21
216,90450144,Buy,0.01,-2.03,1.84,1.49,-3.52,786.14,677.7
217,90446737,Sell,0.01,4.07,1.65,1.3,2.77,790.21,679.0
218,90383944,Buy,0.01,6.24,-9.26,-9.61,15.85,796.45,669.39
219,90367910,Buy,0.01,3.72,-2.21,-2.56,6.28,800.17,666.83
220,90303019,Buy,0.01,9.85,-5.27,-5.62,15.47,810.02,661.21
221,90297337,Buy,0.01,2.62,0.0,-0.35,2.97,812.64,660.86
222,90194077,Buy,0.01,3.0,-2.96,-3.31,6.31,815.64,657.55
223,90192607,Sell,0.01,-1.31,0.0,-0.35,-0.96,814.33,657.2
224,90188256,Buy,0.01,3.9,-5.68,-6.03,9.93,818.23,651.17
225,90081363,Buy,0.01,4.79,-7.23,-7.58,12.37,823.02,643.59
226,90080406,Buy,0.01,-0.32,3.8,3.45,-3.77,822.7,647.04
227,90054432,Sell,0.01,0.31,0.0,-0.35,0.66,823.01,646.69
228,90052400,Buy,0.01,3.09,-2.6,-2.95,6.04,826.1,643.74
229,89797106,Sell,0.01,9.16,-13.77,-14.12,23.28,835.26,629.62
230,89770716,Buy,0.01,1.55,-5.39,-5.74,7.29,836.81,623.88
231,89517529,Sell,0.01,3.22,-22.77,-23.12,26.34,840.03,600.76
232,88577933,Sell,0.01,1.81,2.94,2.59,-0.78,841.84,603.35
233,88511817,Buy,0.01,1.42,-13.66,-14.01,15.43,843.26,589.34
234,88335699,Buy,0.01,3.73,1.45,1.1,2.63,846.99,590.44
235,88320644,Buy,0.01,0.72,2.2,1.85,-1.13,847.71,592.29
236,88172039,Sell,0.01,1.64,-0.41,-0.76,2.4,849.35,591.53
237,88163179,Sell,0.01,-2.0,0.67,0.32,-2.32,847.35,591.85
238,88154082,Sell,0.01,0.99,-0.78,-1.13,2.12,848.34,590.72
239,88144292,Sell,0.01,0.35,-3.01,-3.36,3.71,848.69,587.36
240,88015942,Sell,0.01,-0.69,-0.82,-1.17,0.48,848.0,586.19
