candidate,fold,train_n,test_n,median_abs_close_time_error_seconds,median_abs_exit_price_error,close_within_1m_rate,close_within_5m_rate,win_loss_match_rate,parameters
median_time_stop,1,148,55,475.0,3.2950000000000728,0.0,0.18181818181818182,0.6363636363636364,"{""median_minutes"": 8.525, ""max_minutes"": 88.15083333333337, ""stop"": 3.3150000000000546, ""target"": 3.9899999999997817, ""stop_atr"": 2.191077506720576, ""target_atr"": 2.0771262174708114}"
fixed_barriers,1,148,55,125.0,3.4099999999998545,0.34545454545454546,0.7090909090909091,0.5818181818181818,"{""median_minutes"": 8.525, ""max_minutes"": 88.15083333333337, ""stop"": 3.3150000000000546, ""target"": 3.9899999999997817, ""stop_atr"": 2.191077506720576, ""target_atr"": 2.0771262174708114}"
atr_barriers,1,148,55,268.0,5.890319494536925,0.18181818181818182,0.5272727272727272,0.5636363636363636,"{""median_minutes"": 8.525, ""max_minutes"": 88.15083333333337, ""stop"": 3.3150000000000546, ""target"": 3.9899999999997817, ""stop_atr"": 2.191077506720576, ""target_atr"": 2.0771262174708114}"
ema9_failure,1,148,55,140.0,2.1450000000004366,0.2909090909090909,0.6909090909090909,0.7090909090909091,"{""median_minutes"": 8.525, ""max_minutes"": 88.15083333333337, ""stop"": 3.3150000000000546, ""target"": 3.9899999999997817, ""stop_atr"": 2.191077506720576, ""target_atr"": 2.0771262174708114}"
vwap_failure,1,148,55,416.0,5.565000000000509,0.2545454545454545,0.43636363636363634,0.6727272727272727,"{""median_minutes"": 8.525, ""max_minutes"": 88.15083333333337, ""stop"": 3.3150000000000546, ""target"": 3.9899999999997817, ""stop_atr"": 2.191077506720576, ""target_atr"": 2.0771262174708114}"
momentum_failure,1,148,55,89.0,1.6049999999995634,0.34545454545454546,0.7636363636363637,0.7090909090909091,"{""median_minutes"": 8.525, ""max_minutes"": 88.15083333333337, ""stop"": 3.3150000000000546, ""target"": 3.9899999999997817, ""stop_atr"": 2.191077506720576, ""target_atr"": 2.0771262174708114}"
median_time_stop,2,203,55,271.0,1.6080000000001746,0.05454545454545454,0.5454545454545454,0.8727272727272727,"{""median_minutes"": 5.733333333333333, ""max_minutes"": 70.70833333333329, ""stop"": 2.4200000000000728, ""target"": 3.25, ""stop_atr"": 0.9895958126766616, ""target_atr"": 1.43519949263879}"
fixed_barriers,2,203,55,240.0,1.6499999999996362,0.16363636363636364,0.5272727272727272,0.7454545454545455,"{""median_minutes"": 5.733333333333333, ""max_minutes"": 70.70833333333329, ""stop"": 2.4200000000000728, ""target"": 3.25, ""stop_atr"": 0.9895958126766616, ""target_atr"": 1.43519949263879}"
atr_barriers,2,203,55,301.0,2.584632690816761,0.10909090909090909,0.4909090909090909,0.7090909090909091,"{""median_minutes"": 5.733333333333333, ""max_minutes"": 70.70833333333329, ""stop"": 2.4200000000000728, ""target"": 3.25, ""stop_atr"": 0.9895958126766616, ""target_atr"": 1.43519949263879}"
ema9_failure,2,203,55,417.0,2.381999999999607,0.10909090909090909,0.41818181818181815,0.7272727272727273,"{""median_minutes"": 5.733333333333333, ""max_minutes"": 70.70833333333329, ""stop"": 2.4200000000000728, ""target"": 3.25, ""stop_atr"": 0.9895958126766616, ""target_atr"": 1.43519949263879}"
vwap_failure,2,203,55,925.0,3.725000000000364,0.09090909090909091,0.2727272727272727,0.6545454545454545,"{""median_minutes"": 5.733333333333333, ""max_minutes"": 70.70833333333329, ""stop"": 2.4200000000000728, ""target"": 3.25, ""stop_atr"": 0.9895958126766616, ""target_atr"": 1.43519949263879}"
momentum_failure,2,203,55,345.0,2.274999999999636,0.10909090909090909,0.4909090909090909,0.7818181818181819,"{""median_minutes"": 5.733333333333333, ""max_minutes"": 70.70833333333329, ""stop"": 2.4200000000000728, ""target"": 3.25, ""stop_atr"": 0.9895958126766616, ""target_atr"": 1.43519949263879}"
median_time_stop,3,258,55,276.0,1.5850000000000364,0.05454545454545454,0.5636363636363636,0.8909090909090909,"{""median_minutes"": 6.066666666666666, ""max_minutes"": 61.86916666666659, ""stop"": 2.0299999999997453, ""target"": 3.350000000000364, ""stop_atr"": 0.8892749531516035, ""target_atr"": 1.4145740086956553}"
fixed_barriers,3,258,55,230.0,1.1200000000008004,0.21818181818181817,0.5636363636363636,0.8181818181818182,"{""median_minutes"": 6.066666666666666, ""max_minutes"": 61.86916666666659, ""stop"": 2.0299999999997453, ""target"": 3.350000000000364, ""stop_atr"": 0.8892749531516035, ""target_atr"": 1.4145740086956553}"
atr_barriers,3,258,55,386.0,1.939732869994259,0.21818181818181817,0.45454545454545453,0.7454545454545455,"{""median_minutes"": 6.066666666666666, ""max_minutes"": 61.86916666666659, ""stop"": 2.0299999999997453, ""target"": 3.350000000000364, ""stop_atr"": 0.8892749531516035, ""target_atr"": 1.4145740086956553}"
ema9_failure,3,258,55,357.0,2.005000000000109,0.10909090909090909,0.45454545454545453,0.9090909090909091,"{""median_minutes"": 6.066666666666666, ""max_minutes"": 61.86916666666659, ""stop"": 2.0299999999997453, ""target"": 3.350000000000364, ""stop_atr"": 0.8892749531516035, ""target_atr"": 1.4145740086956553}"
vwap_failure,3,258,55,1089.0,3.1350000000002183,0.10909090909090909,0.2909090909090909,0.7636363636363637,"{""median_minutes"": 6.066666666666666, ""max_minutes"": 61.86916666666659, ""stop"": 2.0299999999997453, ""target"": 3.350000000000364, ""stop_atr"": 0.8892749531516035, ""target_atr"": 1.4145740086956553}"
momentum_failure,3,258,55,296.0,1.5850000000000364,0.18181818181818182,0.509090909090909,0.9272727272727272,"{""median_minutes"": 6.066666666666666, ""max_minutes"": 61.86916666666659, ""stop"": 2.0299999999997453, ""target"": 3.350000000000364, ""stop_atr"": 0.8892749531516035, ""target_atr"": 1.4145740086956553}"
median_time_stop,4,313,55,248.0,1.5050000000001091,0.05454545454545454,0.6181818181818182,1.0,"{""median_minutes"": 6.133333333333334, ""max_minutes"": 57.969999999999885, ""stop"": 2.3099999999999454, ""target"": 3.6700000000000728, ""stop_atr"": 0.8806107900871676, ""target_atr"": 1.4982456219162932}"
fixed_barriers,4,313,55,323.0,1.6599999999998545,0.10909090909090909,0.4909090909090909,0.8545454545454545,"{""median_minutes"": 6.133333333333334, ""max_minutes"": 57.969999999999885, ""stop"": 2.3099999999999454, ""target"": 3.6700000000000728, ""stop_atr"": 0.8806107900871676, ""target_atr"": 1.4982456219162932}"
atr_barriers,4,313,55,397.0,2.2369255741632514,0.14545454545454545,0.45454545454545453,0.8,"{""median_minutes"": 6.133333333333334, ""max_minutes"": 57.969999999999885, ""stop"": 2.3099999999999454, ""target"": 3.6700000000000728, ""stop_atr"": 0.8806107900871676, ""target_atr"": 1.4982456219162932}"
ema9_failure,4,313,55,484.0,2.7450000000003456,0.01818181818181818,0.36363636363636365,0.8727272727272727,"{""median_minutes"": 6.133333333333334, ""max_minutes"": 57.969999999999885, ""stop"": 2.3099999999999454, ""target"": 3.6700000000000728, ""stop_atr"": 0.8806107900871676, ""target_atr"": 1.4982456219162932}"
vwap_failure,4,313,55,1793.0,4.425000000000182,0.01818181818181818,0.12727272727272726,0.7272727272727273,"{""median_minutes"": 6.133333333333334, ""max_minutes"": 57.969999999999885, ""stop"": 2.3099999999999454, ""target"": 3.6700000000000728, ""stop_atr"": 0.8806107900871676, ""target_atr"": 1.4982456219162932}"
momentum_failure,4,313,55,510.0,3.5150000000003274,0.05454545454545454,0.32727272727272727,0.8545454545454545,"{""median_minutes"": 6.133333333333334, ""max_minutes"": 57.969999999999885, ""stop"": 2.3099999999999454, ""target"": 3.6700000000000728, ""stop_atr"": 0.8806107900871676, ""target_atr"": 1.4982456219162932}"
median_time_stop,5,368,55,280.0,1.6250000000009095,0.14545454545454545,0.509090909090909,0.8909090909090909,"{""median_minutes"": 6.591666666666667, ""max_minutes"": 55.18999999999995, ""stop"": 2.3899999999998727, ""target"": 3.7849999999998545, ""stop_atr"": 1.0318689888424624, ""target_atr"": 1.6363363775684219}"
fixed_barriers,5,368,55,430.0,1.8150000000005093,0.03636363636363636,0.38181818181818183,0.8363636363636363,"{""median_minutes"": 6.591666666666667, ""max_minutes"": 55.18999999999995, ""stop"": 2.3899999999998727, ""target"": 3.7849999999998545, ""stop_atr"": 1.0318689888424624, ""target_atr"": 1.6363363775684219}"
atr_barriers,5,368,55,490.0,2.5542534963697108,0.01818181818181818,0.32727272727272727,0.6545454545454545,"{""median_minutes"": 6.591666666666667, ""max_minutes"": 55.18999999999995, ""stop"": 2.3899999999998727, ""target"": 3.7849999999998545, ""stop_atr"": 1.0318689888424624, ""target_atr"": 1.6363363775684219}"
ema9_failure,5,368,55,609.0,3.9249999999992724,0.0,0.2,0.5454545454545454,"{""median_minutes"": 6.591666666666667, ""max_minutes"": 55.18999999999995, ""stop"": 2.3899999999998727, ""target"": 3.7849999999998545, ""stop_atr"": 1.0318689888424624, ""target_atr"": 1.6363363775684219}"
vwap_failure,5,368,55,1670.0,5.394999999999527,0.0,0.09090909090909091,0.5818181818181818,"{""median_minutes"": 6.591666666666667, ""max_minutes"": 55.18999999999995, ""stop"": 2.3899999999998727, ""target"": 3.7849999999998545, ""stop_atr"": 1.0318689888424624, ""target_atr"": 1.6363363775684219}"
momentum_failure,5,368,55,558.0,3.365000000000691,0.05454545454545454,0.2909090909090909,0.5818181818181818,"{""median_minutes"": 6.591666666666667, ""max_minutes"": 55.18999999999995, ""stop"": 2.3899999999998727, ""target"": 3.7849999999998545, ""stop_atr"": 1.0318689888424624, ""target_atr"": 1.6363363775684219}"
