ticket,trade_time,control_time,state_similarity,trade_cooldown_log_seconds,trade_seconds_since_last_entry,trade_trades_today_before,trade_trades_prev_hour,trade_trades_session_before,trade_active_positions_before_candidate,trade_m1_atr_ratio,trade_m1_range,trade_m1_return_5,trade_m1_ema20_dist,trade_m15_price_ema20,trade_h1_price_ema20,control_cooldown_log_seconds,control_seconds_since_last_entry,control_trades_today_before,control_trades_prev_hour,control_trades_session_before,control_active_positions_before_candidate,control_m1_atr_ratio,control_m1_range,control_m1_return_5,control_m1_ema20_dist,control_m15_price_ema20,control_h1_price_ema20
36337657,2025-10-02 16:13:13,2025-10-02 15:43:00,1.0959335660514122,7.817222785508166,2963.0,4.0,3.0,3.0,0,0.00040557524,1.08,0.00061975158,2.3093412,0.93117714,1.1821723,6.52649485957079,1163.0,4.0,3.0,3.0,0,0.00047809535,3.3699999,-0.0016469265,-1.5868276,0.75424141,1.4936622
36368405,2025-10-03 10:17:25,2025-10-03 09:47:00,0.23975154759445097,11.079955543739874,65027.0,0.0,0.0,0.0,0,0.00031793234,0.85000002,-0.00027806009,-0.57134086,1.0197611,0.27714241,11.051810216769898,63227.0,0.0,0.0,0.0,0,0.00033058925,1.9299999,-0.00065290474,-1.3428698,1.0930905,-0.032874573
36383087,2025-10-03 18:18:08,2025-10-03 22:18:00,0.7000102987061765,10.257413722053586,28835.0,1.0,0.0,0.0,0,0.00054507371,1.5599999,0.0001211804,0.32190472,1.0210012,1.2627865,9.554213724077707,14392.0,2.0,0.0,1.0,0,0.00031434384,1.01,-0.00019292877,0.0081595685,0.87368441,1.2532262
36414174,2025-10-06 12:14:39,2025-10-06 10:44:00,0.19517921388658227,12.37608542585653,237352.0,0.0,0.0,0.0,0,0.00034428001,0.92000002,-9.8897544e-05,0.145487,1.1591123,2.4779079,12.353043325021202,231952.0,0.0,0.0,0.0,0,0.00050672283,1.5369999,-0.00042942612,0.12340652,0.68466854,2.4443977
36416362,2025-10-06 14:10:55,2025-10-06 13:40:00,0.8386566744265747,8.587092318795905,6921.0,1.0,0.0,0.0,0,0.0003517936,2.0599999,-0.00058878842,-2.1929753,0.56345409,2.0467815,8.178077463849608,5121.0,1.0,0.0,0.0,0,0.00034362025,1.78,0.00053283875,1.4545766,0.40881774,2.2933445
36450406,2025-10-07 08:47:44,2025-10-07 08:17:00,0.2040058783699944,11.106880188596998,66965.0,0.0,0.0,0.0,0,0.00042485449,1.79,-1.2620159e-05,-0.68482721,-0.94686311,1.8357998,11.07949288777801,65165.0,0.0,0.0,0.0,0,0.00052056316,2.1500001,5.2941599e-05,-1.3989122,-0.45626029,1.8357998
36450588,2025-10-07 08:53:49,2025-10-07 07:53:00,2.5317608626562613,11.11226877785437,316.0,1.0,1.0,1.0,1,0.00042553619,1.73,0.00027260507,0.11900917,-0.94686311,1.8357998,11.0570298480627,63725.0,0.0,0.0,0.0,0,0.00025576385,1.11,-0.00020873126,0.50016946,1.096812,1.745718
36451248,2025-10-07 09:17:36,2025-10-07 09:47:00,1.2479165162897659,6.53813982376767,1391.0,2.0,2.0,2.0,0,0.00036532615,1.05,7.8225836e-05,0.02461266,-0.35391188,0.7836948,7.313886831633462,1764.0,3.0,3.0,3.0,0,0.00043458317,1.8099999,0.00028468238,-0.21068791,-1.1812586,0.7836948
36508294,2025-10-08 12:19:47,2025-10-08 10:49:00,0.309850339531171,11.482682728899254,97284.0,0.0,0.0,0.0,0,0.00030626584,0.75999999,-0.00015112682,-1.0119309,1.2620705,2.8592267,11.425415782028626,91884.0,0.0,0.0,0.0,0,0.00037284225,1.13,1.7342465e-05,0.11993202,2.068342,2.9248583
36508676,2025-10-08 12:36:16,2025-10-08 10:06:00,1.8619958749177763,5.214935757608986,973.0,1.0,1.0,1.0,0,0.00035516033,2.1199999,0.00010409812,-0.099352136,0.90700281,2.8592267,11.396852216793818,89304.0,0.0,0.0,0.0,0,0.00035513897,1.79,0.00031754182,0.50567865,2.1124649,2.9248583
36508993,2025-10-08 12:42:32,2025-10-08 09:42:00,2.8485224688888255,4.8283137373023015,344.0,2.0,2.0,2.0,0,0.00038414251,2.47,0.00081264053,2.0450687,0.90700281,2.8592267,11.38054769238444,87864.0,0.0,0.0,0.0,0,0.0003848529,0.98000002,0.0003648109,1.5356166,1.5764551,3.020999
36561296,2025-10-09 14:04:35,2025-10-09 13:04:00,0.4832995135475074,11.419394701065979,91288.0,0.0,0.0,0.0,0,0.00031485385,1.79,-0.00058870163,-0.84715724,1.5414613,0.86000973,11.37906258883969,87688.0,0.0,0.0,0.0,0,0.00027519983,0.81999999,0.0003022147,0.70152611,0.5234459,0.46125829
36562289,2025-10-09 14:19:30,2025-10-09 15:19:00,1.7535135497775325,5.8888779583328805,865.0,1.0,1.0,1.0,0,0.00036305154,1.91,-0.00056783314,-1.9412472,0.29420447,0.86000973,7.538494999413465,2207.0,3.0,2.0,3.0,0,0.00035808701,2.5369999,0.0003539258,-0.15053704,0.49124324,0.79849976
36562770,2025-10-09 14:42:13,2025-10-09 15:12:00,1.0074146612070582,6.208590026096629,1350.0,2.0,2.0,2.0,0,0.00031910857,0.81,0.00033906568,1.9175131,-0.11124183,0.86000973,7.285506548522785,1787.0,3.0,2.0,3.0,0,0.00039077387,1.37,-0.00041806279,-1.1093112,1.1863818,0.79849976
36640713,2025-10-10 19:29:10,2025-10-10 18:59:00,0.49410843376416413,11.545189343056919,103607.0,0.0,0.0,0.0,0,0.00098466477,1.58,0.0010162308,0.44036835,-0.2840623,0.49917728,11.52760715950621,101807.0,0.0,0.0,0.0,0,0.0010914066,3.0869999,0.00030752653,-0.71185225,1.2163029,0.15859276
36682106,2025-10-13 15:38:45,2025-10-13 13:08:00,0.352546003372088,12.409197146130346,245330.0,0.0,0.0,0.0,0,0.00052626064,1.79,-0.0010653944,-0.86521959,1.2890192,1.5007564,12.371777743797116,236330.0,0.0,0.0,0.0,0,0.00038057711,1.11,3.6810674e-05,-0.42260781,1.0372328,1.9784639
36725889,2025-10-14 10:42:54,2025-10-14 10:12:00,0.3458390600281198,11.13072756380041,68595.0,0.0,0.0,0.0,0,0.00084867404,2.48,9.0460977e-05,0.74726385,-0.54462785,-0.040592309,11.10399435721889,66795.0,0.0,0.0,0.0,0,0.00089014502,1.433,-0.00055741292,-0.10433941,-1.4811525,-0.040592309
36726171,2025-10-14 10:52:46,2025-10-14 11:52:00,0.8337517768833785,6.013715156042802,546.0,1.0,1.0,1.0,0,0.00078321551,4.0890002,0.00094632676,1.0408893,-0.73584545,-0.040592309,8.10076824307173,3554.0,2.0,1.0,2.0,0,0.00072639738,4.6799998,0.0015364087,0.74214715,-0.0085249012,0.56112087
36768836,2025-10-15 09:35:08,2025-10-15 09:05:00,0.15869022394799862,11.30807605081166,81734.0,0.0,0.0,0.0,0,0.00042551366,1.8,-0.00021479944,-0.24761122,0.97168916,1.6383079,11.28573624094727,79934.0,0.0,0.0,0.0,0,0.00048964639,1.76,0.00030031911,-0.32134637,0.6665234,1.6383079
36829765,2025-10-16 13:15:47,2025-10-16 16:45:00,2.053051491224625,11.504046160363632,99592.0,0.0,0.0,0.0,0,0.00045723381,2.04,0.00022181818,0.6581583,1.1441052,1.3721938,9.283683766200392,11751.0,3.0,0.0,3.0,0,0.00070098176,1.587,0.00070147548,1.1906912,1.6554024,0.83770221
36829878,2025-10-16 13:23:12,2025-10-16 14:23:00,1.7329085400058553,5.442417710521793,433.0,1.0,1.0,1.0,0,0.00039259924,0.54299998,-5.660878e-05,0.4475711,1.1441052,1.3721938,7.714677473800927,3231.0,3.0,2.0,3.0,0,0.00028697442,1.03,0.00022152178,0.94370639,1.2780263,1.4518789
36829995,2025-10-16 13:29:09,2025-10-16 14:29:00,1.3576841922896756,5.14166355650266,348.0,2.0,2.0,2.0,0,0.00041179234,1.6569999,0.00016921639,-0.15252763,1.1441052,1.3721938,7.8636512654486515,3591.0,3.0,1.0,3.0,0,0.00028906009,1.387,-0.00018543193,-0.31756386,1.2780263,1.4518789
36893509,2025-10-17 13:15:10,2025-10-17 14:45:00,1.3549788418499233,11.345228446396616,85551.0,0.0,0.0,0.0,0,0.00050662953,3.0469999,-0.00020213079,-0.71761346,-0.51428801,0.56379116,8.464635940677562,5390.0,1.0,0.0,1.0,0,0.0011502639,6.204,-0.0027066544,-1.5937036,-1.906294,0.11105531
36902372,2025-10-17 15:37:18,2025-10-17 15:07:00,0.5451097779384189,8.970050661827003,8510.0,1.0,0.0,1.0,0,0.0011619406,3.927,0.0021923988,1.5138894,-1.8866737,-1.1485823,8.710124927322207,6710.0,1.0,0.0,1.0,0,0.0013419261,5.6300001,0.0036184222,0.40691718,-2.8157949,-1.1485823
36954767,2025-10-20 11:47:26,2025-10-20 08:17:00,0.1566943565265693,12.410220923550236,245382.0,0.0,0.0,0.0,0,0.00045290677,2.28,-0.00012210687,-0.80634755,0.49730641,-0.16799538,12.357488159628245,232782.0,0.0,0.0,0.0,0,0.00043633042,1.88,0.00024805637,-0.40847313,0.34215346,0.027325256
36997575,2025-10-21 10:23:43,2025-10-21 07:23:00,0.24979264503334286,11.304227078087514,81334.0,0.0,0.0,0.0,0,0.00058996869,3.3699999,-0.00049925008,-0.9776547,-0.70266324,0.4488962,11.161437047718795,70534.0,0.0,0.0,0.0,0,0.00032891304,2.24,-0.00025783133,-0.99550664,-0.68323743,0.63043189
36998918,2025-10-21 10:42:21,2025-10-21 11:42:00,0.978146872962549,6.78332520060396,1097.0,1.0,1.0,1.0,0,0.0011416649,3.437,0.00069517019,-1.524008,-1.2073491,0.4488962,8.037543185118697,3579.0,2.0,1.0,2.0,0,0.0011930543,5.04,0.00039611896,0.10402805,-3.1728568,-1.2189912
37005647,2025-10-21 13:56:35,2025-10-21 13:26:00,0.8594973481870953,9.317848579691468,11619.0,2.0,0.0,0.0,0,0.00066883024,2.177,-0.00043909031,-0.65452725,-1.8555881,-1.9438727,9.141526055975824,9819.0,2.0,0.0,0.0,0,0.00088162045,5.3600001,0.0019573173,1.2858167,-2.2168262,-1.9438727
37045628,2025-10-22 10:02:29,2025-10-22 08:32:00,0.41502935450155276,11.18578158363726,72325.0,0.0,0.0,0.0,0,0.00075186009,6.4899998,-0.0018708062,-1.338622,1.5210425,0.059310071,11.10793024644666,66925.0,0.0,0.0,0.0,0,0.00067971169,4.3299999,-0.00092292938,-1.7170529,1.113813,-0.74476933
37082195,2025-10-23 08:30:44,2025-10-23 08:00:00,0.28315558992332424,11.299298982347858,80851.0,0.0,0.0,0.0,0,0.0004700968,1.48,0.00094970828,0.68502158,0.24453855,0.066066705,11.276759995304156,79051.0,0.0,0.0,0.0,0,0.00043077156,2.1800001,-4.8905793e-05,0.39640599,0.29404199,0.066066705
