trade_idx,ticket,side,volume,recorded_pnl,reconstructed_pnl_spread,reconstructed_pnl_zero_spread,residual_spread,residual_zero_spread,abs_residual,cum_recorded_pnl,cum_reconstructed_pnl_spread,cum_reconstructed_pnl_zero_spread
138,92863125,Buy,0.01,7.45,8.92,9.27,-1.47,-1.82,1.47,539.03,604.75,654.8
139,92816284,Sell,0.01,7.18,5.81,6.16,1.37,1.02,1.37,546.21,610.56,660.96
140,92794484,Sell,0.01,4.14,5.89,6.24,-1.75,-2.1,1.75,550.35,616.45,667.2
141,92755985,Buy,0.01,2.64,2.72,3.07,-0.08,-0.43,0.08,552.99,619.17,670.27
142,92749649,Sell,0.01,2.85,4.11,4.46,-1.26,-1.61,1.26,555.84,623.28,674.73
143,92708453,Sell,0.01,1.18,0.25,0.6,0.93,0.58,0.93,557.02,623.53,675.33
144,92707912,Buy,0.01,-2.09,-1.42,-1.07,-0.67,-1.02,0.67,554.93,622.11,674.26
145,92704162,Sell,0.01,2.59,2.12,2.47,0.47,0.12,0.47,557.52,624.23,676.73
146,92699406,Buy,0.01,3.18,2.38,2.73,0.8,0.45,0.8,560.7,626.61,679.46
147,92660254,Buy,0.01,2.73,4.39,4.74,-1.66,-2.01,1.66,563.43,631.0,684.2
148,92649888,Buy,0.01,4.27,0.33,0.68,3.94,3.59,3.94,567.7,631.33,684.88
149,92626347,Sell,0.01,1.66,2.03,2.38,-0.37,-0.72,0.37,569.36,633.36,687.26
150,92611594,Buy,0.01,2.56,2.7,3.05,-0.14,-0.49,0.14,571.92,636.06,690.31
151,92561346,Sell,0.01,5.57,3.68,4.03,1.89,1.54,1.89,577.49,639.74,694.34
152,92535886,Sell,0.01,4.16,4.28,4.63,-0.12,-0.47,0.12,581.65,644.02,698.97
153,92461110,Buy,0.01,3.81,3.87,4.22,-0.06,-0.41,0.06,585.46,647.89,703.19
154,92408965,Sell,0.01,3.79,6.92,7.27,-3.13,-3.48,3.13,589.25,654.81,710.46
155,92396538,Sell,0.01,1.28,1.52,1.87,-0.24,-0.59,0.24,590.53,656.33,712.33
156,92342438,Sell,0.01,4.84,4.79,5.14,0.05,-0.3,0.05,595.37,661.12,717.47
157,92331897,Sell,0.01,3.38,3.49,3.84,-0.11,-0.46,0.11,598.75,664.61,721.31
158,92319804,Buy,0.01,-2.54,-1.31,-0.96,-1.23,-1.58,1.23,596.21,663.3,720.35
159,92286476,Sell,0.01,1.77,2.53,2.88,-0.76,-1.11,0.76,597.98,665.83,723.23
160,92274667,Buy,0.01,8.74,10.26,10.61,-1.52,-1.87,1.52,606.72,676.09,733.84
161,92218142,Sell,0.01,4.15,4.66,5.01,-0.51,-0.86,0.51,610.87,680.75,738.85
162,92181621,Buy,0.01,5.54,2.22,2.57,3.32,2.97,3.32,616.41,682.97,741.42
163,92125361,Sell,0.01,3.82,3.78,4.13,0.04,-0.31,0.04,620.23,686.75,745.55
164,92117158,Buy,0.01,2.98,2.44,2.79,0.54,0.19,0.54,623.21,689.19,748.34
165,92099847,Buy,0.01,2.23,1.91,2.26,0.32,-0.03,0.32,625.44,691.1,750.6
166,92067522,Buy,0.01,7.36,10.29,10.64,-2.93,-3.28,2.93,632.8,701.39,761.24
167,92029007,Sell,0.01,4.28,7.78,8.13,-3.5,-3.85,3.5,637.08,709.17,769.37
168,92024986,Buy,0.01,3.9,3.14,3.49,0.76,0.41,0.76,640.98,712.31,772.86
169,91984519,Buy,0.01,5.78,7.12,7.47,-1.34,-1.69,1.34,646.76,719.43,780.33
170,91973017,Sell,0.01,3.17,5.42,5.77,-2.25,-2.6,2.25,649.93,724.85,786.1
171,91954421,Buy,0.01,2.91,9.06,9.41,-6.15,-6.5,6.15,652.84,733.91,795.51
172,91919177,Buy,0.01,2.69,6.94,7.29,-4.25,-4.6,4.25,655.53,740.85,802.8
173,91873683,Sell,0.01,7.53,5.85,6.2,1.68,1.33,1.68,663.06,746.7,809.0
174,91863976,Sell,0.01,3.89,6.22,6.57,-2.33,-2.68,2.33,666.95,752.92,815.57
175,91824729,Buy,0.01,3.78,1.7,2.05,2.08,1.73,2.08,670.73,754.62,817.62
176,91806444,Buy,0.01,5.19,3.2,3.55,1.99,1.64,1.99,675.92,757.82,821.17
177,91797166,Buy,0.01,0.82,-0.01,0.34,0.83,0.48,0.83,676.74,757.81,821.51
178,91776198,Sell,0.01,-1.53,-0.99,-0.64,-0.54,-0.89,0.54,675.21,756.82,820.87
179,91740834,Sell,0.01,4.4,7.43,7.78,-3.03,-3.38,3.03,679.61,764.25,828.65
180,91655142,Buy,0.01,3.8,4.9,5.25,-1.1,-1.45,1.1,683.41,769.15,833.9
181,91645065,Sell,0.01,4.0,4.71,5.06,-0.71,-1.06,0.71,687.41,773.86,838.96
182,91596159,Sell,0.01,2.19,2.25,2.6,-0.06,-0.41,0.06,689.6,776.11,841.56
183,91585973,Buy,0.01,3.38,1.54,1.89,1.84,1.49,1.84,692.98,777.65,843.45
184,91531357,Sell,0.01,2.0,-2.71,-2.36,4.71,4.36,4.71,694.98,774.94,841.09
185,91515698,Sell,0.01,4.27,1.8,2.15,2.47,2.12,2.47,699.25,776.74,843.24
186,91488864,Buy,0.01,3.37,2.07,2.42,1.3,0.95,1.3,702.62,778.81,845.66
187,91448019,Sell,0.01,1.1,0.87,1.22,0.23,-0.12,0.23,703.72,779.68,846.88
188,91431248,Buy,0.01,4.42,4.43,4.78,-0.01,-0.36,0.01,708.14,784.11,851.66
189,91397685,Buy,0.01,2.98,2.21,2.56,0.77,0.42,0.77,711.12,786.32,854.22
190,91356501,Sell,0.01,2.56,4.34,4.69,-1.78,-2.13,1.78,713.68,790.66,858.91
191,91352434,Buy,0.01,3.06,6.25,6.6,-3.19,-3.54,3.19,716.74,796.91,865.51
192,91276550,Buy,0.01,5.46,4.32,4.67,1.14,0.79,1.14,722.2,801.23,870.18
193,91267485,Buy,0.01,4.78,5.02,5.37,-0.24,-0.59,0.24,726.98,806.25,875.55
194,91267065,Buy,0.01,-1.88,-0.66,-0.31,-1.22,-1.57,1.22,725.1,805.59,875.24
195,91227583,Buy,0.01,2.31,2.9,3.25,-0.59,-0.94,0.59,727.41,808.49,878.49
196,91206718,Buy,0.01,2.93,2.91,3.26,0.02,-0.33,0.02,730.34,811.4,881.75
197,91202282,Sell,0.01,2.25,3.19,3.54,-0.94,-1.29,0.94,732.59,814.59,885.29
198,91200522,Buy,0.01,0.06,0.49,0.84,-0.43,-0.78,0.43,732.65,815.08,886.13
199,91162669,Buy,0.01,5.42,8.48,8.84,-3.06,-3.42,3.06,738.07,823.56,894.97
200,91124606,Buy,0.01,8.9,6.5,6.85,2.4,2.05,2.4,746.97,830.06,901.82
201,91045329,Buy,0.01,1.86,2.73,3.08,-0.87,-1.22,0.87,748.83,832.79,904.9
202,91024794,Sell,0.01,4.19,-1.26,-0.91,5.45,5.1,5.45,753.02,831.53,903.99
203,91022147,Buy,0.01,1.88,4.0,4.35,-2.12,-2.47,2.12,754.9,835.53,908.34
204,90970712,Sell,0.01,3.9,9.55,9.9,-5.65,-6.0,5.65,758.8,845.08,918.24
205,90967915,Sell,0.01,-0.77,-0.03,0.32,-0.74,-1.09,0.74,758.03,845.05,918.56
206,90964953,Sell,0.01,2.34,2.12,2.47,0.22,-0.13,0.22,760.37,847.17,921.03
207,90928037,Sell,0.01,1.74,3.21,3.56,-1.47,-1.82,1.47,762.11,850.38,924.59
208,90927563,Sell,0.01,-1.09,-1.7,-1.35,0.61,0.26,0.61,761.02,848.68,923.24
209,90900649,Sell,0.01,7.5,8.13,8.48,-0.63,-0.98,0.63,768.52,856.81,931.72
210,90783770,Sell,0.01,3.32,0.78,1.13,2.54,2.19,2.54,771.84,857.59,932.85
211,90765592,Sell,0.01,3.67,5.36,5.71,-1.69,-2.04,1.69,775.51,862.95,938.56
212,90724112,Buy,0.01,1.53,-0.36,-0.01,1.89,1.54,1.89,777.04,862.59,938.55
213,90689174,Buy,0.01,1.47,0.97,1.32,0.5,0.15,0.5,778.51,863.56,939.87
214,90670870,Buy,0.01,4.39,4.27,4.62,0.12,-0.23,0.12,782.9,867.83,944.49
215,90468624,Sell,0.01,5.27,0.67,1.02,4.6,4.25,4.6,788.17,868.5,945.51
216,90450144,Buy,0.01,-2.03,-0.69,-0.34,-1.34,-1.69,1.34,786.14,867.81,945.17
217,90446737,Sell,0.01,4.07,3.66,4.01,0.41,0.06,0.41,790.21,871.47,949.18
218,90383944,Buy,0.01,6.24,-9.97,-9.62,16.21,15.86,16.21,796.45,861.5,939.56
219,90367910,Buy,0.01,3.72,-2.3,-1.95,6.02,5.67,6.02,800.17,859.2,937.61
220,90303019,Buy,0.01,9.85,-6.01,-5.66,15.86,15.51,15.86,810.02,853.19,931.95
221,90297337,Buy,0.01,2.62,-5.07,-4.72,7.69,7.34,7.69,812.64,848.12,927.23
222,90194077,Buy,0.01,3.0,-5.91,-5.56,8.91,8.56,8.91,815.64,842.21,921.67
223,90192607,Sell,0.01,-1.31,1.05,1.4,-2.36,-2.71,2.36,814.33,843.26,923.07
224,90188256,Buy,0.01,3.9,-7.4,-7.05,11.3,10.95,11.3,818.23,835.86,916.02
