trade_idx,ticket,side,volume,recorded_pnl,reconstructed_pnl_spread,reconstructed_pnl_zero_spread,residual_spread,residual_zero_spread,abs_residual,cum_recorded_pnl,cum_reconstructed_pnl_spread,cum_reconstructed_pnl_zero_spread
335,38686016,Sell,0.01,5.46,6.37,6.72,-0.91,-1.26,0.91,1056.95,931.77,1051.13
336,38683859,Buy,0.01,3.31,2.51,2.86,0.8,0.45,0.8,1060.26,934.28,1053.99
337,38650723,Sell,0.01,5.6,6.79,7.14,-1.19,-1.54,1.19,1065.86,941.07,1061.13
338,38648802,Buy,0.01,-3.99,-2.02,-1.67,-1.97,-2.32,1.97,1061.87,939.05,1059.46
339,38612361,Sell,0.01,9.02,7.53,7.88,1.49,1.14,1.49,1070.89,946.58,1067.34
340,38570537,Sell,0.01,5.46,6.19,6.54,-0.73,-1.08,0.73,1076.35,952.77,1073.88
341,38568721,Sell,0.01,4.8,4.39,4.74,0.41,0.06,0.41,1081.15,957.16,1078.62
342,38528027,Sell,0.01,6.41,6.11,6.46,0.3,-0.05,0.3,1087.56,963.27,1085.08
343,38492680,Buy,0.01,-4.86,-5.84,-5.49,0.98,0.63,0.98,1082.7,957.43,1079.59
344,38487563,Buy,0.01,5.6,6.09,6.44,-0.49,-0.84,0.49,1088.3,963.52,1086.03
345,38449900,Sell,0.01,2.91,2.9,3.25,0.01,-0.34,0.01,1091.21,966.42,1089.28
346,38448404,Buy,0.01,-4.86,-6.23,-5.88,1.37,1.02,1.37,1086.35,960.19,1083.4
347,38443239,Sell,0.01,3.25,3.36,3.71,-0.11,-0.46,0.11,1089.6,963.55,1087.11
348,38441014,Buy,0.01,7.08,8.45,8.8,-1.37,-1.72,1.37,1096.68,972.0,1095.91
349,38422656,Buy,0.01,6.64,4.05,4.4,2.59,2.24,2.59,1103.32,976.05,1100.31
350,38394143,Buy,0.01,4.76,3.1,3.45,1.66,1.31,1.66,1108.08,979.15,1103.76
351,38381092,Sell,0.01,16.3,12.56,12.91,3.74,3.39,3.74,1124.38,991.71,1116.67
352,38327555,Buy,0.02,12.08,9.68,10.38,2.4,1.7,2.4,1136.46,1001.39,1127.05
353,38293895,Sell,0.02,9.8,11.48,12.18,-1.68,-2.38,1.68,1146.26,1012.87,1139.23
354,38258178,Buy,0.01,5.08,3.3,3.65,1.78,1.43,1.78,1151.34,1016.17,1142.88
355,38220734,Sell,0.01,6.06,7.2,7.55,-1.14,-1.49,1.14,1157.4,1023.37,1150.43
356,38185142,Sell,0.02,12.08,12.96,13.66,-0.88,-1.58,0.88,1169.48,1036.33,1164.09
357,38122859,Sell,0.01,7.41,8.44,8.79,-1.03,-1.38,1.03,1176.89,1044.77,1172.88
358,38119105,Sell,0.01,-4.83,-4.64,-4.29,-0.19,-0.54,0.19,1172.06,1040.13,1168.59
359,38045554,Buy,0.01,11.02,9.93,10.28,1.09,0.74,1.09,1183.08,1050.06,1178.87
360,37964561,Buy,0.01,6.3,6.03,6.38,0.27,-0.08,0.27,1189.38,1056.09,1185.25
361,37928869,Sell,0.01,7.85,8.59,8.94,-0.74,-1.09,0.74,1197.23,1064.68,1194.19
362,37874673,Sell,0.02,14.9,17.46,18.16,-2.56,-3.26,2.56,1212.13,1082.14,1212.35
363,37836776,Sell,0.01,-5.43,-6.92,-6.57,1.49,1.14,1.49,1206.7,1075.22,1205.78
364,37791981,Sell,0.01,8.85,8.85,9.2,-0.0,-0.35,0.0,1215.55,1084.07,1214.98
365,37748984,Buy,0.01,7.16,6.78,7.13,0.38,0.03,0.38,1222.71,1090.85,1222.11
366,37701576,Sell,0.01,11.72,11.9,12.25,-0.18,-0.53,0.18,1234.43,1102.75,1234.36
367,37610153,Buy,0.01,9.18,9.3,9.65,-0.12,-0.47,0.12,1243.61,1112.05,1244.01
368,37543683,Buy,0.02,11.96,9.83,10.53,2.13,1.43,2.13,1255.57,1121.88,1254.54
369,37542995,Buy,0.01,-5.33,-5.42,-5.07,0.09,-0.26,0.09,1250.24,1116.46,1249.47
370,37542639,Sell,0.01,0.64,1.05,1.4,-0.41,-0.76,0.41,1250.88,1117.51,1250.87
371,37507379,Sell,0.01,7.19,8.27,8.62,-1.08,-1.43,1.08,1258.07,1125.78,1259.49
372,37477144,Buy,0.01,7.23,5.42,5.77,1.81,1.46,1.81,1265.3,1131.2,1265.26
373,37442389,Buy,0.01,5.37,4.09,4.44,1.28,0.93,1.28,1270.67,1135.29,1269.7
374,37400976,Sell,0.01,3.88,3.87,4.22,0.01,-0.34,0.01,1274.55,1139.16,1273.92
375,37386001,Buy,0.01,9.65,7.0,7.35,2.65,2.3,2.65,1284.2,1146.16,1281.27
376,37296835,Buy,0.01,4.42,-3.68,-3.33,8.1,7.75,8.1,1288.62,1142.48,1277.94
377,37217619,Sell,0.01,5.94,-4.3,-3.95,10.24,9.89,10.24,1294.56,1138.18,1273.99
378,37162697,Buy,0.01,4.38,-2.13,-1.78,6.51,6.16,6.51,1298.94,1136.05,1272.21
379,37145681,Sell,0.01,4.13,5.18,5.53,-1.05,-1.4,1.05,1303.07,1141.23,1277.74
380,37082195,Buy,0.02,9.36,6.67,7.37,2.69,1.99,2.69,1312.43,1147.9,1285.11
381,37045628,Sell,0.02,6.5,6.61,7.31,-0.11,-0.81,0.11,1318.93,1154.51,1292.42
382,37005647,Sell,0.01,3.73,3.88,4.23,-0.15,-0.5,0.15,1322.66,1158.39,1296.65
383,36998918,Buy,0.01,4.74,1.3,1.65,3.44,3.09,3.44,1327.4,1159.69,1298.3
384,36997575,Buy,0.01,-1.96,-0.38,-0.03,-1.58,-1.93,1.58,1325.44,1159.31,1298.27
385,36954767,Sell,0.01,3.94,3.26,3.61,0.68,0.33,0.68,1329.38,1162.57,1301.88
386,36902372,Sell,0.01,2.84,4.59,4.94,-1.75,-2.1,1.75,1332.22,1167.16,1306.82
387,36893509,Buy,0.01,1.94,2.46,2.81,-0.52,-0.87,0.52,1334.16,1169.62,1309.63
388,36829995,Buy,0.02,3.94,4.83,5.53,-0.89,-1.59,0.89,1338.1,1174.45,1315.16
389,36829878,Buy,0.01,-2.92,-3.71,-3.36,0.79,0.44,0.79,1335.18,1170.74,1311.8
390,36829765,Sell,0.01,0.45,1.77,2.12,-1.32,-1.67,1.32,1335.63,1172.51,1313.92
391,36768836,Buy,0.02,7.8,6.68,7.38,1.12,0.42,1.12,1343.43,1179.19,1321.3
392,36726171,Sell,0.02,5.0,6.88,7.58,-1.88,-2.58,1.88,1348.43,1186.07,1328.88
393,36725889,Sell,0.02,4.94,6.46,7.16,-1.52,-2.22,1.52,1353.37,1192.53,1336.04
394,36682106,Sell,0.01,0.71,0.29,0.64,0.42,0.07,0.42,1354.08,1192.82,1336.68
395,36640713,Buy,0.02,4.56,2.95,3.65,1.61,0.91,1.61,1358.64,1195.77,1340.33
396,36562770,Buy,0.01,2.88,2.61,2.96,0.27,-0.08,0.27,1361.52,1198.38,1343.29
397,36562289,Buy,0.01,4.04,4.47,4.82,-0.43,-0.78,0.43,1365.56,1202.85,1348.11
398,36561296,Sell,0.02,2.84,4.93,5.63,-2.09,-2.79,2.09,1368.4,1207.78,1353.74
399,36508993,Buy,0.02,5.04,2.0,2.7,3.04,2.34,3.04,1373.44,1209.78,1356.44
400,36508676,Buy,0.01,2.27,2.86,3.21,-0.59,-0.94,0.59,1375.71,1212.64,1359.65
401,36508294,Sell,0.02,4.98,6.45,7.15,-1.47,-2.17,1.47,1380.69,1219.09,1366.8
402,36451248,Buy,0.01,1.43,1.89,2.24,-0.46,-0.81,0.46,1382.12,1220.98,1369.04
403,36450588,Sell,0.01,3.62,4.28,4.63,-0.66,-1.01,0.66,1385.74,1225.26,1373.67
404,36450406,Sell,0.01,-1.71,-1.56,-1.21,-0.15,-0.5,0.15,1384.03,1223.7,1372.46
405,36416362,Sell,0.01,3.02,1.88,2.23,1.14,0.79,1.14,1387.05,1225.58,1374.69
406,36414174,Sell,0.01,2.46,2.35,2.7,0.11,-0.24,0.11,1389.51,1227.93,1377.39
407,36383087,Buy,0.01,7.8,4.8,5.15,3.0,2.65,3.0,1397.31,1232.73,1382.54
408,36368405,Buy,0.01,1.2,2.43,2.78,-1.23,-1.58,1.23,1398.51,1235.16,1385.32
409,36337657,Sell,0.01,1.81,0.89,1.24,0.92,0.57,0.92,1400.32,1236.05,1386.56
410,36335183,Buy,0.01,1.32,1.39,1.74,-0.07,-0.42,0.07,1401.64,1237.44,1388.3
411,36335196,Buy,0.01,1.22,0.28,0.62,0.94,0.6,0.94,1402.86,1237.72,1388.92
412,36334931,Buy,0.01,1.43,1.91,2.26,-0.48,-0.83,0.48,1404.29,1239.63,1391.18
413,36322976,Buy,0.01,1.21,1.17,1.52,0.04,-0.31,0.04,1405.5,1240.8,1392.7
414,36283671,Sell,0.01,6.25,4.23,4.58,2.02,1.67,2.02,1411.75,1245.03,1397.28
415,36274877,Buy,0.01,2.01,3.11,3.46,-1.1,-1.45,1.1,1413.76,1248.14,1400.74
416,36228676,Sell,0.01,12.91,6.44,6.79,6.47,6.12,6.47,1426.67,1254.58,1407.53
417,36227388,Sell,0.03,6.79,20.74,21.79,-13.95,-15.0,13.95,1433.46,1275.32,1429.32
418,36227385,Sell,0.01,6.03,1.81,2.16,4.22,3.87,4.22,1439.49,1277.13,1431.48
419,36168589,Buy,0.01,3.9,3.66,4.01,0.24,-0.11,0.24,1443.39,1280.79,1435.49
420,36168590,Buy,0.01,3.52,3.82,4.17,-0.3,-0.65,0.3,1446.91,1284.61,1439.66
421,36148327,Buy,0.01,0.82,0.96,1.31,-0.14,-0.49,0.14,1447.73,1285.57,1440.97
422,36095791,Sell,0.01,2.52,1.13,1.48,1.39,1.04,1.39,1450.25,1286.7,1442.45
423,36094988,Buy,0.01,0.97,0.35,0.7,0.62,0.27,0.62,1451.22,1287.05,1443.15
