model,description,historical_candidate_signals,historical_matched_entry_bars,historical_precision,historical_recall,oos_tp,oos_fp,oos_fn,oos_precision,oos_recall,oos_f1_mean,oos_roc_auc_mean,oos_pr_auc_mean,oos_direction_accuracy_matched,oos_entry_match_60s_mean,oos_entry_match_one_m1_bar_mean,parameters_or_rules,complexity,bic_mdl,oos_entry_match_1s_mean,oos_entry_match_5s_mean,oos_entry_match_15s_mean,oos_entry_match_30s_mean
MODEL 0 time/session,Time and bar-clock state only,7862,34,0.0043245993385906,0.0809523809523809,67,21485,239,0.0031087602078693,0.218954248366013,0.0080363901313705,0.6847844409006928,0.0024882662571786,0.4961538461538461,0.2105715811965812,0.2240657993966817,10,linear,not valid,0.00588235294117646,0.03302161890397182,0.09459307440925085,0.18738624937154347
MODEL 8 constrained nonlinear,120 depth-3 boosted trees,17159,121,0.0070516929891019,0.288095238095238,33,10469,273,0.0031422586174062,0.1078431372549019,0.0055674361679497,0.7067464645308199,0.0028828568827184,0.219047619047619,0.12988719205630966,0.1434618526897938,120,120 depth-3 trees,not valid,0.00294117647058822,0.01289089994972346,0.046676721970839594,0.09735545500251382
MODEL 5 expansion+session+HTF,Adds completed M5/M15/H1 context,3976,18,0.0045271629778672,0.0428571428571428,59,18385,247,0.0031988722619822,0.1928104575163398,0.0036623769628283,0.690333061885563,0.0026120183821113,0.5428849902534113,0.20102752639517343,0.2227325289089995,60,linear,not valid,0.00588235294117646,0.020578808446455498,0.0773802790346908,0.1659455128205128
MODEL 6 prior interpretable,Lagged version of prior body/EMA/VWAP candidate,33909,42,0.0012386092187914,0.1,9,7337,297,0.0012251565477811,0.0294117647058823,0.0025599410045824,0.4998249550777374,0.0014293746172011,0.6666666666666666,0.04204688285570636,0.0479292357968828,5,linear,not valid,0.0,0.007385620915032659,0.01307472347913522,0.0320971593765711
MODEL 2 expansion+trend,M1 expansion and trend/location,1387,2,0.0014419610670511,0.0047619047619047,55,38456,251,0.0014281633818908,0.1797385620915032,0.0021905746955516,0.5251271606748535,0.0015673210149428,0.479020979020979,0.24418143539467066,0.2875914404223227,37,linear,not valid,0.01093011563599798,0.045252325289089956,0.0960910005027652,0.181276395173454
MODEL 7 sparse rule,L1 sparse logistic rule,144554,354,0.0024489118253386,0.8428571428571429,69,29809,237,0.0023093915255371,0.2254901960784313,0.0020720821433138,0.6879175010915984,0.0024860706752475,0.5401182432432432,0.2727601809954751,0.2786425339366515,70,sparse linear,not valid,0.0103267973856209,0.04437908496732024,0.13294117647058826,0.24916540975364504
MODEL 3 expansion+trend+VWAP,Adds session VWAP proxy,37470,72,0.0019215372297838,0.1714285714285714,30,24395,276,0.0012282497441146,0.0980392156862745,0.0018266103825518,0.5316825211894312,0.0015772627052568,0.4253472222222222,0.15891654097536448,0.1875597033685268,38,linear,not valid,0.00392156862745098,0.01661921820010054,0.05495789341377576,0.10697963800904975
MODEL 1 M1 expansion,Prior completed M1 expansion only,2023,4,0.0019772614928324,0.0095238095238095,13,16104,293,0.0008066017248867,0.0424836601307189,0.0016797625263994,0.5343392726865733,0.0017601195657218,0.7666666666666666,0.08979292357968827,0.1239313097033685,17,linear,not valid,0.00444444444444444,0.01902243589743588,0.04261217948717948,0.061036953242835576
MODEL 4 expansion+session,M1 expansion plus clock state,149404,352,0.0023560279510588,0.8380952380952381,1,1470,305,0.000679809653297,0.0032679738562091,0.0008988764044943,0.6842977989232887,0.0025670442542968,0.0,0.0056891025641025595,0.0126976495726495,27,linear,not valid,0.0,0.0,0.0,0.0056891025641025595
