fold,train_n,test_n,buy_rate_test,direction_accuracy,roc_auc,pr_auc_buy
1,114,68,0.5441176470588235,0.5,0.43591979075850046,0.5284536573925812
2,182,78,0.5641025641025641,0.5128205128205128,0.5207219251336899,0.560103417198631
3,260,64,0.34375,0.5,0.47186147186147187,0.3807680781155814
4,324,51,0.49019607843137253,0.5882352941176471,0.6369230769230769,0.6270653460974354
5,375,45,0.4888888888888889,0.5333333333333333,0.5395256916996047,0.632773620207441
